Sample ID,Size_cm,Structure,Texture,Plant Influence,TMX_PPB
KF-60 cm-LS-Ctr-1,60,S,Clay,No Plant,9.308480014
KF-60 cm-LS-Ctr-2,60,S,Clay,No Plant,2.542004527
KF-60 cm-LS-Ctr-3,60,S,Clay,No Plant,1.40305887
KF-60 cm-LS-Ctr-5,60,S,Clay,No Plant,27.76748632
KF-60 cm-LS-Exp-2,60,S,Clay,Plant,5.240248753
KF-60 cm-LS-Exp-3,60,S,Clay,Plant,18.06080383
KF-60 cm-LS-Exp-4,60,S,Clay,Plant,0.873843585
KF-60 cm-LS-Exp-5,60,S,Clay,Plant,17.48166216
KF-20 cm-LS-Ctr-1,20,S,Clay,No Plant,36.96095106
KF-20 cm-LS-Ctr-2,20,S,Clay,No Plant,32.61342211
KF-20 cm-LS-Ctr-3,20,S,Clay,No Plant,26.60940075
KF-20 cm-LS-Ctr-4,20,S,Clay,No Plant,70.27395785
KF-20 cm-LS-Ctr-5,20,S,Clay,No Plant,33.28375854
KF-20 cm-LS-Exp-1,20,S,Clay,Plant,27.58230602
KF-20 cm-LS-Exp-2,20,S,Clay,Plant,16.99230888
KF-20 cm-LS-Exp-3,20,S,Clay,Plant,36.40116905
KF-20 cm-LS-Exp-4,20,S,Clay,Plant,25.86399895
KF-20 cm-LS-Exp-5,20,S,Clay,Plant,8.196123673
NK-60 cm-LS-Ctr-2,60,NA,Sand,No Plant,0.135189803
NK-60 cm-LS-Ctr-3,60,NA,Sand,No Plant,0.012442056
NK-60 cm-LS-Ctr-4,60,NA,Sand,No Plant,0.065390459
NK-60 cm-LS-Ctr-5,60,NA,Sand,No Plant,0.069280713
NK-60 cm-LS-Exp-1,60,NA,Sand,Plant,0.023662367
NK-60 cm-LS-Exp-2,60,NA,Sand,Plant,0.105480549
NK-60 cm-LS-Exp-3,60,NA,Sand,Plant,0.060722154
NK-60 cm-LS-Exp-4,60,NA,Sand,Plant,0.263158681
NK-60 cm-LS-Exp-5,60,NA,Sand,Plant,0.307917076
NK-20 cm-LS-Ctr-1,20,NA,Sand,No Plant,109.7206333
NK-20 cm-LS-Ctr-2,20,NA,Sand,No Plant,83.71149493
NK-20 cm-LS-Ctr-3,20,NA,Sand,No Plant,35.08779071
NK-20 cm-LS-Ctr-4,20,NA,Sand,No Plant,17.47271782
NK-20 cm-LS-Exp-1,20,NA,Sand,Plant,58.84057398
NK-20 cm-LS-Exp-2,20,NA,Sand,Plant,82.57305469
NK-20 cm-LS-Exp-3,20,NA,Sand,Plant,94.74535786
NK-20 cm-LS-Exp-4,20,NA,Sand,Plant,2.236249368
KF-60 cm-LS/SS-1,60,NS,Clay,Plant,0.784493653
KF-60 cm-LS/SS-2,60,NS,Clay,Plant,0.079918998
KF-60 cm-LS/SS-3,60,NS,Clay,Plant,1.255823128
KF-60 cm-LS/SS-4,60,NS,Clay,Plant,6.970216428
KF-60 cm-LS/SS-5,60,NS,Clay,Plant,4.497695853
