Column.ID,Texture,Size,Structure,Point,time.elapsed_seconds
2_8,Clay,20 cm,Structure,1,0
2_8,Clay,20 cm,Structure,2,84
2_8,Clay,20 cm,Structure,3,400
2_8,Clay,20 cm,Structure,4,924
4_11,Clay,20 cm,Structure,1,0
4_11,Clay,20 cm,Structure,2,110
4_11,Clay,20 cm,Structure,3,241
4_11,Clay,20 cm,Structure,4,451
4_2,Clay,20 cm,Structure,1,0
4_2,Clay,20 cm,Structure,2,31
4_2,Clay,20 cm,Structure,3,180
4_2,Clay,20 cm,Structure,4,392
4_2,Clay,20 cm,Structure,5,932
2_13,Clay,20 cm,Structure,1,0
2_13,Clay,20 cm,Structure,2,138
2_13,Clay,20 cm,Structure,3,210
2_13,Clay,20 cm,Structure,4,265
2_13,Clay,20 cm,Structure,5,520
1_6,Clay,20 cm,Structure,1,0
1_6,Clay,20 cm,Structure,2,107
1_6,Clay,20 cm,Structure,3,305
1_6,Clay,20 cm,Structure,4,570
1_6,Clay,20 cm,Structure,5,915
1_6,Clay,20 cm,Structure,6,1491
1_3,Clay,20 cm,Structure,1,0
1_3,Clay,20 cm,Structure,2,95
1_3,Clay,20 cm,Structure,3,310
1_3,Clay,20 cm,Structure,4,596
1_3,Clay,20 cm,Structure,5,1174
2_5,Sand,20 cm,NA,1,0
2_5,Sand,20 cm,NA,2,125
2_5,Sand,20 cm,NA,3,246
2_5,Sand,20 cm,NA,4,265
2_5,Sand,20 cm,NA,5,366
2_5,Sand,20 cm,NA,6,449
2_5,Sand,20 cm,NA,7,523
2_5,Sand,20 cm,NA,8,737
4_15,Sand,20 cm,NA,1,0
4_15,Sand,20 cm,NA,2,84
4_15,Sand,20 cm,NA,3,395
4_15,Sand,20 cm,NA,4,619
4_15,Sand,20 cm,NA,5,1394
4_4,Sand,20 cm,NA,1,0
4_4,Sand,20 cm,NA,2,92
4_4,Sand,20 cm,NA,3,263
4_4,Sand,20 cm,NA,4,443
4_4,Sand,20 cm,NA,5,551
4_4,Sand,20 cm,NA,6,879
4_4,Sand,20 cm,NA,7,1284
2_16,Sand,20 cm,NA,1,0
2_16,Sand,20 cm,NA,2,369
2_16,Sand,20 cm,NA,3,687
2_16,Sand,20 cm,NA,4,948
2_16,Sand,20 cm,NA,5,1222
2_16,Sand,20 cm,NA,6,2551
2_1,Clay,60 cm,Structureless,1,0
2_1,Clay,60 cm,Structureless,2,81
2_1,Clay,60 cm,Structureless,3,330
2_1,Clay,60 cm,Structureless,4,643
2_1,Clay,60 cm,Structureless,5,1138
2_1,Clay,60 cm,Structureless,6,1479
2_1,Clay,60 cm,Structureless,7,2394
2_1,Clay,60 cm,Structureless,8,4111
2_2,Clay,60 cm,Structureless,1,0
2_2,Clay,60 cm,Structureless,2,112
2_2,Clay,60 cm,Structureless,3,275
2_2,Clay,60 cm,Structureless,4,504
2_2,Clay,60 cm,Structureless,5,762
2_2,Clay,60 cm,Structureless,6,1095
2_2,Clay,60 cm,Structureless,7,1356
2_2,Clay,60 cm,Structureless,8,2073
2_6,Clay,60 cm,Structureless,1,0
2_6,Clay,60 cm,Structureless,2,45
2_6,Clay,60 cm,Structureless,3,116
2_6,Clay,60 cm,Structureless,4,284
2_6,Clay,60 cm,Structureless,5,669
