Cup Number,Detection Date,Sample ID,Analyte Name,Concentration Units,Peak Concentration,Calibration equation,Peak Area,Analyte Name,Concentration Units,Peak Concentration,Calibration equation,Peak Area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,3/17/2016,STD 01,Nitrate,mg/L,20,Conc = 0.000 * Area^2 + 0.000 * Area + 0.000,14.152,Ammonia,mg N/L as NH3,20,Conc = 0.000 * Area^2 + 0.000 * Area + 0.000,125.241,,,,,,,,,,,,,,,
S2,3/17/2016,STD 02,Nitrate,mg/L,10,Conc = 0.000 * Area^2 + 0.000 * Area + 0.000,6.935,Ammonia,mg N/L as NH3,10,Conc = 0.000 * Area^2 + 0.000 * Area + 0.000,65.753,,,,,,,,,,,,,,,
S3,3/17/2016,STD 03,Nitrate,mg/L,5,Conc = - 0.011 * Area^2 + 1.612 * Area - 0.662,3.599,Ammonia,mg N/L as NH3,5,Conc = 7.754e-5 * Area^2 + 0.153 * Area - 0.414,34.712,,,,,,,,,,,,,,,
S4,3/17/2016,STD 04,Nitrate,mg/L,2,Conc = - 7.617e-3 * Area^2 + 1.554 * Area - 0.455,1.587,Ammonia,mg N/L as NH3,2,Conc = 8.628e-5 * Area^2 + 0.152 * Area - 0.359,15.37,,,,,,notes:,,,,,,,,,
S5,3/17/2016,STD 05,Nitrate,mg/L,1,Conc = - 5.740e-3 * Area^2 + 1.522 * Area - 0.367,0.889,Ammonia,mg N/L as NH3,1,Conc = 9.253e-5 * Area^2 + 0.151 * Area - 0.326,8.631,,,,,,,1:10 dilution,,,,,,,,
S6,3/17/2016,STD 06,Nitrate,mg/L,0.5,Conc = 2.762e-3 * Area^2 + 1.391 * Area - 0.097,0.37,Ammonia,mg N/L as NH3,0.5,Conc = 1.270e-4 * Area^2 + 0.145 * Area - 0.169,3.481,,,,,,,,,,,,,,,
S7,3/17/2016,STD 07,Nitrate,mg/L,0,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.013,Ammonia,mg N/L as NH3,0,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,0.034,,,,,,,,,,,,,,,
S3,3/17/2016,5ppm NO3, 5ppm NH4 check,Nitrate,mg/L,4.886,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,3.581,Ammonia,mg N/L as NH3,5.01,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,34.619,,Sample ID,,CEC (meq/100 g),,CEC (meq/100 g),,,,,,,,
1,3/17/2016,jrad_CEC 001,Nitrate,mg/L,-0.01,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.032,Ammonia,mg N/L as NH3,31.632,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,187.201,,,KF-Ap-1,,4.393333333,,4.930555556,,,,,,,,
