KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFA1_9-21-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/5/2015 11:19:41 AM
Test duration	00:06:24

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.56
Fitting Parameter b [s-1]	-5.33E-03
Fitting Parameter c [cm]	-.6
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	308
Ks Total [m/s]	3.58E-05
Ks Soil [cm/d]	254
Ks Soil [m/s]	2.95E-05
Ks Soil normalized at 12.0 °C [cm/d]	217
Ks Soil normalized at 12.0 °C [m/s]	2.52E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/5/2015 11:19:41 AM	7	-3.63	1.822	-99999.000	17.710
10/5/2015 11:19:42 AM	114	-2.53	1.544	-99999.000	17.710
10/5/2015 11:19:43 AM	596	-1.05	5.180	-99999.000	17.710
10/5/2015 11:19:44 AM	642	0.00	5.156	5.156	17.710
10/5/2015 11:19:48 AM	744	4.10	5.034	5.057	17.710
10/5/2015 11:19:53 AM	612	8.97	4.927	4.943	17.720
10/5/2015 11:19:58 AM	463	13.82	4.824	4.832	17.720
10/5/2015 11:20:03 AM	315	18.67	4.712	4.724	17.730
10/5/2015 11:20:08 AM	198	23.56	4.610	4.618	17.730
10/5/2015 11:20:13 AM	907	29.26	4.489	4.498	17.720
10/5/2015 11:20:19 AM	648	35.01	4.385	4.380	17.720
10/5/2015 11:20:24 AM	468	39.83	4.275	4.284	17.730
10/5/2015 11:20:30 AM	256	45.61	4.170	4.172	17.730
10/5/2015 11:20:36 AM	106	51.46	4.060	4.063	17.730
10/5/2015 11:20:42 AM	705	58.06	3.953	3.943	17.730
10/5/2015 11:20:48 AM	414	63.77	3.843	3.843	17.730
10/5/2015 11:20:55 AM	13	70.37	3.736	3.731	17.740
10/5/2015 11:21:01 AM	612	76.97	3.629	3.622	17.750
10/5/2015 11:21:08 AM	211	83.57	3.522	3.518	17.750
10/5/2015 11:21:15 AM	636	90.99	3.407	3.405	17.750
10/5/2015 11:21:23 AM	78	98.44	3.298	3.296	17.750
10/5/2015 11:21:30 AM	535	105.89	3.198	3.190	17.750
10/5/2015 11:21:37 AM	960	113.32	3.095	3.090	17.750
10/5/2015 11:21:46 AM	369	121.73	2.987	2.981	17.760
10/5/2015 11:21:54 AM	683	130.04	2.878	2.877	17.760
10/5/2015 11:22:03 AM	965	139.32	2.775	2.768	17.760
10/5/2015 11:22:12 AM	343	147.70	2.675	2.673	17.770
10/5/2015 11:22:21 AM	515	156.87	2.574	2.574	17.770
10/5/2015 11:22:31 AM	562	166.92	2.471	2.471	17.770
10/5/2015 11:22:42 AM	419	177.78	2.363	2.366	17.780
10/5/2015 11:22:54 AM	135	189.49	2.254	2.259	17.780
10/5/2015 11:23:06 AM	787	202.15	2.145	2.151	17.780
10/5/2015 11:23:19 AM	423	214.78	2.041	2.050	17.780
10/5/2015 11:23:33 AM	166	228.52	1.933	1.947	17.790
10/5/2015 11:23:47 AM	565	242.92	1.833	1.848	17.790
10/5/2015 11:24:04 AM	444	259.80	1.714	1.740	17.790
10/5/2015 11:24:23 AM	882	279.24	1.613	1.628	17.790
10/5/2015 11:24:45 AM	909	301.27	1.509	1.514	17.800
10/5/2015 11:25:09 AM	715	325.07	1.407	1.405	17.800
10/5/2015 11:25:35 AM	143	350.50	1.303	1.303	17.810
10/5/2015 11:26:05 AM	766	381.12	1.203	-99999.000	17.810

