KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFA3_9-21-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/7/2015 8:42:49 PM
Test duration	00:01:35

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.25
Fitting Parameter b [s-1]	-1.80E-02
Fitting Parameter c [cm]	-.2
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	1040
Ks Total [m/s]	1.21E-04
Ks Soil [cm/d]	863
Ks Soil [m/s]	1.00E-04
Ks Soil normalized at 12.0 °C [cm/d]	662
Ks Soil normalized at 12.0 °C [m/s]	7.69E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/7/2015 8:42:49 PM	735	-3.49	0.203	-99999.000	22.270
10/7/2015 8:42:51 PM	139	-2.09	0.196	-99999.000	22.270
10/7/2015 8:42:52 PM	216	-1.01	4.439	-99999.000	22.270
10/7/2015 8:42:53 PM	230	0.00	4.453	4.453	22.270
10/7/2015 8:42:55 PM	773	2.54	4.274	4.263	22.270
10/7/2015 8:42:57 PM	333	4.10	4.160	4.151	22.270
10/7/2015 8:42:58 PM	908	5.68	4.049	4.040	22.270
10/7/2015 8:43:00 PM	484	7.25	3.941	3.933	22.270
10/7/2015 8:43:01 PM	981	8.75	3.837	3.834	22.270
10/7/2015 8:43:03 PM	900	10.67	3.708	3.711	22.270
10/7/2015 8:43:06 PM	349	13.12	3.540	3.560	22.270
10/7/2015 8:43:09 PM	126	15.90	3.425	3.396	22.270
10/7/2015 8:43:12 PM	371	19.14	3.226	3.215	22.280
10/7/2015 8:43:14 PM	805	21.58	3.081	3.086	22.280
10/7/2015 8:43:17 PM	238	24.01	2.961	2.962	22.280
10/7/2015 8:43:20 PM	561	27.33	2.811	2.802	22.280
10/7/2015 8:43:23 PM	10	29.78	2.684	2.690	22.280
10/7/2015 8:43:26 PM	239	33.01	2.564	2.550	22.280
10/7/2015 8:43:28 PM	704	35.47	2.450	2.448	22.280
10/7/2015 8:43:31 PM	902	38.67	2.328	2.322	22.280
10/7/2015 8:43:35 PM	194	41.96	2.212	2.200	22.280
10/7/2015 8:43:38 PM	485	45.26	2.102	2.085	22.280
10/7/2015 8:43:41 PM	808	48.58	1.999	1.976	22.280
10/7/2015 8:43:45 PM	115	51.89	1.889	1.874	22.280
10/7/2015 8:43:48 PM	423	55.19	1.786	1.777	22.280
10/7/2015 8:43:52 PM	603	59.37	1.678	1.663	22.280
10/7/2015 8:43:56 PM	753	63.52	1.553	1.558	22.280
10/7/2015 8:44:00 PM	949	67.72	1.450	1.459	22.280
10/7/2015 8:44:05 PM	988	72.76	1.348	1.350	22.280
10/7/2015 8:44:11 PM	11	77.78	1.247	1.251	22.280
10/7/2015 8:44:17 PM	563	84.33	1.134	1.134	22.280
10/7/2015 8:44:25 PM	98	91.87	1.017	-99999.000	22.280

