KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFA4_9-21-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/7/2015 9:15:26 PM
Test duration	00:01:15

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.37
Fitting Parameter b [s-1]	-1.40E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9987
Ks Total [cm/d]	809
Ks Total [m/s]	9.40E-05
Ks Soil [cm/d]	670
Ks Soil [m/s]	7.79E-05
Ks Soil normalized at 12.0 °C [cm/d]	514
Ks Soil normalized at 12.0 °C [m/s]	5.97E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/7/2015 9:15:26 PM	369	-6.27	-1.668	-99999.000	22.250
10/7/2015 9:15:27 PM	788	-4.85	-1.673	-99999.000	22.250
10/7/2015 9:15:28 PM	958	-3.68	-1.666	-99999.000	22.250
10/7/2015 9:15:29 PM	988	-2.65	-1.663	-99999.000	22.250
10/7/2015 9:15:31 PM	595	-1.05	4.441	-99999.000	22.250
10/7/2015 9:15:32 PM	640	0.00	4.368	4.368	22.250
10/7/2015 9:15:35 PM	152	2.51	4.210	4.183	22.250
10/7/2015 9:15:36 PM	727	4.09	4.106	4.070	22.250
10/7/2015 9:15:38 PM	287	5.65	4.005	3.960	22.250
10/7/2015 9:15:39 PM	863	7.22	3.905	3.852	22.250
10/7/2015 9:15:42 PM	312	9.67	3.735	3.689	22.250
10/7/2015 9:15:44 PM	746	12.11	3.615	3.532	22.250
10/7/2015 9:15:47 PM	164	14.52	3.476	3.381	22.250
10/7/2015 9:15:49 PM	628	16.99	3.318	3.233	22.250
10/7/2015 9:15:52 PM	62	19.42	3.207	3.091	22.250
10/7/2015 9:15:53 PM	653	21.01	3.098	3.001	22.250
10/7/2015 9:15:56 PM	118	23.48	2.972	2.865	22.250
10/7/2015 9:15:58 PM	583	25.94	2.846	2.734	22.250
10/7/2015 9:16:01 PM	32	28.39	2.705	2.609	22.250
10/7/2015 9:16:04 PM	324	31.68	2.548	2.446	22.250
10/7/2015 9:16:06 PM	773	34.13	2.432	2.330	22.250
10/7/2015 9:16:09 PM	144	36.50	2.320	2.222	22.250
10/7/2015 9:16:11 PM	609	38.97	2.211	2.112	22.250
10/7/2015 9:16:14 PM	42	41.40	2.087	2.008	22.250
10/7/2015 9:16:17 PM	334	44.69	1.950	1.873	22.250
10/7/2015 9:16:19 PM	814	47.17	1.849	1.775	22.260
10/7/2015 9:16:23 PM	106	50.47	1.721	1.650	22.260
10/7/2015 9:16:25 PM	555	52.91	1.597	1.561	22.260
10/7/2015 9:16:28 PM	878	56.24	1.477	1.444	22.260
10/7/2015 9:16:32 PM	185	59.54	1.362	1.334	22.260
10/7/2015 9:16:35 PM	399	62.76	1.251	1.231	22.260
10/7/2015 9:16:38 PM	722	66.08	1.130	1.130	22.260
10/7/2015 9:16:42 PM	29	69.39	1.027	-99999.000	22.260

