KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFB1_9-21-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/7/2015 7:48:29 PM
Test duration	00:00:42

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.6
Fitting Parameter b [s-1]	-3.01E-02
Fitting Parameter c [cm]	.4
Fitting Parameter r2 [-]	0.9998
Ks Total [cm/d]	1740
Ks Total [m/s]	2.02E-04
Ks Soil [cm/d]	1460
Ks Soil [m/s]	1.70E-04
Ks Soil normalized at 12.0 °C [cm/d]	1120
Ks Soil normalized at 12.0 °C [m/s]	1.30E-04

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/7/2015 7:48:29 PM	158	-2.15	0.302	-99999.000	22.200
10/7/2015 7:48:30 PM	266	-1.04	0.301	-99999.000	22.200
10/7/2015 7:48:31 PM	311	0.00	5.195	5.195	22.200
10/7/2015 7:48:33 PM	448	2.14	4.781	4.847	22.200
10/7/2015 7:48:34 PM	868	3.56	4.552	4.628	22.200
10/7/2015 7:48:36 PM	272	4.96	4.331	4.420	22.200
10/7/2015 7:48:37 PM	660	6.35	4.177	4.223	22.200
10/7/2015 7:48:39 PM	111	7.80	3.975	4.025	22.200
10/7/2015 7:48:40 PM	515	9.20	3.778	3.843	22.210
10/7/2015 7:48:42 PM	792	11.48	3.540	3.562	22.210
10/7/2015 7:48:44 PM	243	12.93	3.359	3.393	22.210
10/7/2015 7:48:46 PM	490	15.18	3.142	3.145	22.210
10/7/2015 7:48:47 PM	878	16.57	2.978	3.000	22.210
10/7/2015 7:48:49 PM	313	18.00	2.821	2.856	22.210
10/7/2015 7:48:50 PM	733	19.42	2.708	2.720	22.210
10/7/2015 7:48:52 PM	152	20.84	2.563	2.590	22.210
10/7/2015 7:48:53 PM	572	22.26	2.459	2.465	22.210
10/7/2015 7:48:54 PM	992	23.68	2.358	2.345	22.210
10/7/2015 7:48:56 PM	442	25.13	2.229	2.228	22.210
10/7/2015 7:48:57 PM	862	26.55	2.108	2.118	22.210
10/7/2015 7:48:59 PM	250	27.94	1.993	2.015	22.210
10/7/2015 7:49:01 PM	528	30.22	1.856	1.856	22.210
10/7/2015 7:49:02 PM	948	31.64	1.753	1.761	22.210
10/7/2015 7:49:05 PM	272	33.96	1.633	1.615	22.210
10/7/2015 7:49:06 PM	754	35.44	1.528	1.528	22.210
10/7/2015 7:49:09 PM	32	37.72	1.400	1.400	22.210
10/7/2015 7:49:11 PM	278	39.97	1.284	-99999.000	22.210

