KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFB2_9-21-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/7/2015 8:31:09 PM
Test duration	00:01:37

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	.01
Fitting Parameter b [s-1]	NaN
Fitting Parameter c [cm]	.5
Fitting Parameter r2 [-]	0.9296
Ks Total [cm/d]	NaN
Ks Total [m/s]	NaN
Ks Soil [cm/d]	NaN
Ks Soil [m/s]	NaN
Ks Soil normalized at 12.0 °C [cm/d]	NaN
Ks Soil normalized at 12.0 °C [m/s]	NaN

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/7/2015 8:31:09 PM	637	-1.43	-4.629	-99999.000	22.240
10/7/2015 8:31:11 PM	72	0.00	-0.488	NaN	22.240
10/7/2015 8:32:07 PM	638	56.57	-0.636	NaN	22.260
10/7/2015 8:32:10 PM	87	59.02	-0.753	NaN	22.250
10/7/2015 8:32:11 PM	694	60.62	-0.865	NaN	22.250
10/7/2015 8:32:14 PM	128	63.06	-0.975	NaN	22.250
10/7/2015 8:32:16 PM	452	65.38	-1.124	NaN	22.250
10/7/2015 8:32:18 PM	901	67.83	-1.259	NaN	22.250
10/7/2015 8:32:20 PM	290	69.22	-1.563	NaN	22.260
10/7/2015 8:32:21 PM	725	70.65	-1.767	NaN	22.260
10/7/2015 8:32:23 PM	301	72.23	-1.946	NaN	22.260
10/7/2015 8:32:24 PM	861	73.79	-2.125	NaN	22.260
10/7/2015 8:32:26 PM	436	75.36	-2.281	NaN	22.260
10/7/2015 8:32:28 PM	12	76.94	-2.429	NaN	22.260
10/7/2015 8:32:29 PM	587	78.52	-2.563	NaN	22.260
10/7/2015 8:32:31 PM	179	80.11	-2.690	NaN	22.260
10/7/2015 8:32:32 PM	754	81.68	-2.811	NaN	22.260
10/7/2015 8:32:34 PM	345	83.27	-2.925	NaN	22.260
10/7/2015 8:32:36 PM	748	85.68	-3.081	NaN	22.260
10/7/2015 8:32:39 PM	135	88.06	-3.224	NaN	22.260
10/7/2015 8:32:41 PM	490	90.42	-3.354	NaN	22.260
10/7/2015 8:32:43 PM	752	92.68	-3.470	NaN	22.260
10/7/2015 8:32:46 PM	857	95.79	-3.611	NaN	22.260

