KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFD2_9-21-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/11/2015 4:25:21 PM
Test duration	00:00:40

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.79
Fitting Parameter b [s-1]	-3.60E-02
Fitting Parameter c [cm]	.3
Fitting Parameter r2 [-]	0.9979
Ks Total [cm/d]	2080
Ks Total [m/s]	2.42E-04
Ks Soil [cm/d]	1750
Ks Soil [m/s]	2.03E-04
Ks Soil normalized at 12.0 °C [cm/d]	1380
Ks Soil normalized at 12.0 °C [m/s]	1.60E-04

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/11/2015 4:25:21 PM	58	-3.07	1.772	-99999.000	20.990
10/11/2015 4:25:22 PM	72	-2.06	1.467	-99999.000	20.990
10/11/2015 4:25:23 PM	117	-1.01	3.086	-99999.000	20.990
10/11/2015 4:25:24 PM	131	0.00	4.687	4.687	20.990
10/11/2015 4:25:26 PM	237	2.11	4.362	4.337	20.990
10/11/2015 4:25:27 PM	657	3.53	4.130	4.116	20.990
10/11/2015 4:25:29 PM	45	4.91	3.908	3.910	20.990
10/11/2015 4:25:30 PM	465	6.33	3.747	3.710	20.990
10/11/2015 4:25:31 PM	853	7.72	3.540	3.524	20.990
10/11/2015 4:25:33 PM	242	9.11	3.340	3.347	20.990
10/11/2015 4:25:35 PM	519	11.39	3.101	3.076	20.990
10/11/2015 4:25:36 PM	908	12.78	2.919	2.921	20.990
10/11/2015 4:25:38 PM	296	14.16	2.789	2.773	20.990
10/11/2015 4:25:39 PM	934	15.80	2.588	2.609	20.990
10/11/2015 4:25:42 PM	149	18.02	2.403	2.401	20.990
10/11/2015 4:25:43 PM	538	19.41	2.274	2.279	20.990
10/11/2015 4:25:45 PM	815	21.68	2.139	2.091	20.990
10/11/2015 4:25:47 PM	219	23.09	2.038	1.983	20.990
10/11/2015 4:25:49 PM	466	25.34	1.883	1.821	20.990
10/11/2015 4:25:51 PM	743	27.61	1.767	1.670	21.000
10/11/2015 4:25:54 PM	21	29.89	1.643	1.530	21.000
10/11/2015 4:25:55 PM	409	31.28	1.532	1.451	21.000
10/11/2015 4:25:56 PM	798	32.67	1.422	1.375	21.000
10/11/2015 4:25:59 PM	75	34.94	1.259	1.259	21.000
10/11/2015 4:26:01 PM	353	37.22	1.125	-99999.000	20.990

