KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFD3_9-21-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/11/2015 4:52:40 PM
Test duration	00:00:33

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.69
Fitting Parameter b [s-1]	-3.22E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9975
Ks Total [cm/d]	1860
Ks Total [m/s]	2.16E-04
Ks Soil [cm/d]	1560
Ks Soil [m/s]	1.81E-04
Ks Soil normalized at 12.0 °C [cm/d]	1230
Ks Soil normalized at 12.0 °C [m/s]	1.43E-04

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/11/2015 4:52:40 PM	808	-3.34	-3.100	-99999.000	21.120
10/11/2015 4:52:42 PM	87	-2.06	-3.641	-99999.000	21.120
10/11/2015 4:52:43 PM	133	-1.01	0.426	-99999.000	21.120
10/11/2015 4:52:44 PM	147	0.00	4.687	4.687	21.120
10/11/2015 4:52:46 PM	253	2.11	4.317	4.314	21.120
10/11/2015 4:52:47 PM	859	3.71	4.070	4.047	21.120
10/11/2015 4:52:49 PM	279	5.13	3.833	3.821	21.120
10/11/2015 4:52:50 PM	667	6.52	3.605	3.610	21.120
10/11/2015 4:52:52 PM	56	7.91	3.495	3.409	21.120
10/11/2015 4:52:53 PM	444	9.30	3.282	3.216	21.120
10/11/2015 4:52:54 PM	833	10.69	3.078	3.032	21.120
10/11/2015 4:52:56 PM	221	12.07	2.933	2.856	21.120
10/11/2015 4:52:57 PM	641	13.49	2.752	2.683	21.120
10/11/2015 4:52:59 PM	60	14.91	2.583	2.519	21.120
10/11/2015 4:53:01 PM	338	17.19	2.385	2.270	21.120
10/11/2015 4:53:02 PM	726	18.58	2.236	2.127	21.120
10/11/2015 4:53:04 PM	973	20.83	2.047	1.909	21.120
10/11/2015 4:53:06 PM	392	22.24	1.880	1.779	21.120
10/11/2015 4:53:07 PM	812	23.67	1.765	1.655	21.120
10/11/2015 4:53:09 PM	247	25.10	1.612	1.535	21.120
10/11/2015 4:53:10 PM	651	26.50	1.462	1.423	21.130
10/11/2015 4:53:12 PM	71	27.92	1.315	1.315	21.130
10/11/2015 4:53:14 PM	395	30.25	1.135	-99999.000	21.130

