KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFD5_9-21-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/11/2015 6:46:44 PM
Test duration	00:01:13

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	7.08
Fitting Parameter b [s-1]	-1.72E-01
Fitting Parameter c [cm]	-.6
Fitting Parameter r2 [-]	0.7788
Ks Total [cm/d]	9960
Ks Total [m/s]	1.16E-03
Ks Soil [cm/d]	9360
Ks Soil [m/s]	1.09E-03
Ks Soil normalized at 12.0 °C [cm/d]	7270
Ks Soil normalized at 12.0 °C [m/s]	8.45E-04

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/11/2015 6:46:44 PM	821	-66.91	4.932	-99999.000	21.520
10/11/2015 6:46:45 PM	866	-65.86	4.786	-99999.000	21.520
10/11/2015 6:46:47 PM	5	-64.72	4.601	-99999.000	21.520
10/11/2015 6:46:48 PM	66	-63.66	4.422	-99999.000	21.520
10/11/2015 6:46:49 PM	95	-62.63	4.305	-99999.000	21.520
10/11/2015 6:46:50 PM	109	-61.62	4.132	-99999.000	21.520
10/11/2015 6:46:51 PM	170	-60.56	3.962	-99999.000	21.550
10/11/2015 6:46:52 PM	184	-59.55	3.852	-99999.000	21.550
10/11/2015 6:46:53 PM	229	-58.50	3.688	-99999.000	21.550
10/11/2015 6:46:54 PM	243	-57.49	3.528	-99999.000	21.550
10/11/2015 6:46:55 PM	491	-56.24	3.423	-99999.000	21.550
10/11/2015 6:46:56 PM	505	-55.22	3.269	-99999.000	21.550
10/11/2015 6:46:57 PM	582	-54.15	3.118	-99999.000	21.550
10/11/2015 6:46:58 PM	596	-53.13	3.020	-99999.000	21.550
10/11/2015 6:46:59 PM	641	-52.09	2.875	-99999.000	21.550
10/11/2015 6:47:00 PM	686	-51.04	2.734	-99999.000	21.580
10/11/2015 6:47:01 PM	731	-50.00	2.641	-99999.000	21.580
10/11/2015 6:47:02 PM	745	-48.98	2.506	-99999.000	21.580
10/11/2015 6:47:03 PM	791	-47.94	2.374	-99999.000	21.580
10/11/2015 6:47:04 PM	805	-46.92	2.288	-99999.000	21.580
10/11/2015 6:47:05 PM	850	-45.88	2.161	-99999.000	21.580
10/11/2015 6:47:06 PM	895	-44.83	2.065	-99999.000	21.580
10/11/2015 6:47:08 PM	34	-43.70	1.944	-99999.000	21.580
10/11/2015 6:47:09 PM	48	-42.68	1.827	-99999.000	21.580
10/11/2015 6:47:10 PM	124	-41.61	1.750	-99999.000	21.580
10/11/2015 6:47:11 PM	138	-40.59	1.635	-99999.000	21.590
10/11/2015 6:47:12 PM	215	-39.51	1.523	-99999.000	21.590
10/11/2015 6:47:13 PM	229	-38.50	1.450	-99999.000	21.590
10/11/2015 6:47:14 PM	289	-37.44	1.340	-99999.000	21.590
10/11/2015 6:47:15 PM	319	-36.41	1.230	-99999.000	21.590
10/11/2015 6:47:16 PM	395	-35.33	1.159	-99999.000	21.590
10/11/2015 6:47:17 PM	409	-34.32	1.054	-99999.000	21.590
10/11/2015 6:47:18 PM	548	-33.18	0.949	-99999.000	21.590
10/11/2015 6:47:19 PM	562	-32.17	0.879	-99999.000	21.590
10/11/2015 6:47:20 PM	623	-31.11	0.774	-99999.000	21.610
10/11/2015 6:47:21 PM	637	-30.09	0.674	-99999.000	21.610
10/11/2015 6:47:22 PM	682	-29.05	0.608	-99999.000	21.610
10/11/2015 6:47:23 PM	696	-28.03	0.510	-99999.000	21.610
10/11/2015 6:47:24 PM	773	-26.96	0.414	-99999.000	21.610
10/11/2015 6:47:25 PM	818	-25.91	0.349	-99999.000	21.610
10/11/2015 6:47:26 PM	894	-24.84	0.253	-99999.000	21.610
10/11/2015 6:47:27 PM	939	-23.79	0.189	-99999.000	21.610
10/11/2015 6:47:29 PM	16	-22.71	0.097	-99999.000	21.610
10/11/2015 6:47:30 PM	61	-21.67	0.008	-99999.000	21.610
10/11/2015 6:47:31 PM	75	-20.65	-0.051	-99999.000	21.630
10/11/2015 6:47:32 PM	120	-19.61	-0.137	-99999.000	21.630
10/11/2015 6:47:33 PM	197	-18.53	-0.222	-99999.000	21.630
10/11/2015 6:47:34 PM	211	-17.52	-0.278	-99999.000	21.630
10/11/2015 6:47:35 PM	271	-16.46	-0.360	-99999.000	21.630
10/11/2015 6:47:36 PM	285	-15.44	-0.414	-99999.000	21.630
10/11/2015 6:47:37 PM	487	-14.24	-0.493	-99999.000	21.630
10/11/2015 6:47:38 PM	579	-13.15	-0.572	-99999.000	21.630
10/11/2015 6:47:39 PM	639	-12.09	-0.674	-99999.000	21.630
10/11/2015 6:47:40 PM	809	-10.92	-0.725	-99999.000	21.650
10/11/2015 6:47:42 PM	42	-9.69	-0.869	-99999.000	21.650
10/11/2015 6:47:43 PM	56	-8.67	-1.145	-99999.000	21.650
10/11/2015 6:47:44 PM	117	-7.61	-1.275	-99999.000	21.650
10/11/2015 6:47:45 PM	193	-6.54	-1.450	-99999.000	21.650
10/11/2015 6:47:46 PM	254	-5.48	-1.562	-99999.000	21.650
10/11/2015 6:47:47 PM	424	-4.31	0.157	-99999.000	21.650
10/11/2015 6:47:48 PM	485	-3.24	2.203	-99999.000	21.650
10/11/2015 6:47:49 PM	514	-2.22	4.016	-99999.000	21.650
10/11/2015 6:47:50 PM	684	-1.05	5.123	-99999.000	21.660
10/11/2015 6:47:51 PM	729	0.00	6.077	6.077	21.660
10/11/2015 6:47:53 PM	960	2.23	5.671	3.819	21.660
10/11/2015 6:47:55 PM	442	3.71	5.405	2.734	21.660
10/11/2015 6:47:56 PM	893	5.16	1.908	1.908	21.660
10/11/2015 6:47:58 PM	375	6.65	-0.086	-99999.000	21.660

