KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFE1-10-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/22/2016 10:42:37 AM
Test duration	01:30:17

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.4
Fitting Parameter b [s-1]	-2.52E-04
Fitting Parameter c [cm]	.1
Fitting Parameter r2 [-]	0.9996
Ks Total [cm/d]	15
Ks Total [m/s]	1.69E-06
Ks Soil [cm/d]	12
Ks Soil [m/s]	1.39E-06
Ks Soil normalized at 12.0 °C [cm/d]	9
Ks Soil normalized at 12.0 °C [m/s]	1.08E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
3/22/2016 10:42:37 AM	686	-5.05	-1.500	-99999.000	21.710
3/22/2016 10:42:39 AM	620	-3.12	-1.497	-99999.000	21.710
3/22/2016 10:42:40 AM	993	-1.75	3.967	-99999.000	21.710
3/22/2016 10:42:42 AM	740	0.00	5.299	5.299	21.710
3/22/2016 10:43:54 AM	968	72.23	5.198	5.202	21.720
3/22/2016 10:45:08 AM	335	145.59	5.097	5.104	21.730
3/22/2016 10:46:23 AM	387	220.65	4.995	5.007	21.730
3/22/2016 10:47:41 AM	200	298.46	4.894	4.908	21.740
3/22/2016 10:48:58 AM	966	376.23	4.792	4.811	21.750
3/22/2016 10:50:20 AM	944	458.20	4.691	4.710	21.760
3/22/2016 10:51:44 AM	716	541.98	4.590	4.610	21.760
3/22/2016 10:53:09 AM	362	626.62	4.489	4.510	21.770
3/22/2016 10:54:36 AM	816	714.08	4.387	4.410	21.780
3/22/2016 10:56:04 AM	254	801.51	4.286	4.311	21.780
3/22/2016 10:57:35 AM	311	892.57	4.185	4.211	21.800
3/22/2016 10:59:06 AM	884	984.14	4.084	4.113	21.790
3/22/2016 11:00:40 AM	281	1077.54	3.984	4.015	21.790
3/22/2016 11:02:22 AM	118	1179.38	3.883	3.911	21.800
3/22/2016 11:04:06 AM	919	1284.18	3.782	3.806	21.800
3/22/2016 11:05:35 AM	231	1372.49	3.682	3.720	21.810
3/22/2016 11:07:22 AM	528	1479.79	3.581	3.618	21.800
3/22/2016 11:09:12 AM	227	1589.49	3.481	3.517	21.810
3/22/2016 11:11:05 AM	436	1702.70	3.380	3.415	21.800
3/22/2016 11:13:00 AM	268	1817.53	3.280	3.315	21.800
3/22/2016 11:14:58 AM	719	1935.98	3.179	3.214	21.800
3/22/2016 11:17:05 AM	891	2063.15	3.078	3.110	21.810
3/22/2016 11:19:19 AM	864	2197.12	2.978	3.003	21.810
3/22/2016 11:21:42 AM	713	2339.97	2.877	2.893	21.810
3/22/2016 11:24:15 AM	16	2492.28	2.777	2.781	21.810
3/22/2016 11:26:56 AM	742	2654.00	2.676	2.665	21.800
3/22/2016 11:29:43 AM	303	2820.56	2.576	2.552	21.810
3/22/2016 11:32:37 AM	41	2994.30	2.475	2.438	21.800
3/22/2016 11:35:24 AM	55	3161.31	2.374	2.334	21.800
3/22/2016 11:38:09 AM	25	3326.29	2.274	2.234	21.790
3/22/2016 11:41:00 AM	1	3497.26	2.173	2.136	21.800
3/22/2016 11:43:58 AM	138	3675.40	2.073	2.038	21.810
3/22/2016 11:47:09 AM	925	3867.19	1.972	1.937	21.810
3/22/2016 11:50:24 AM	20	4061.28	1.872	1.840	21.840
3/22/2016 11:53:50 AM	424	4267.68	1.772	1.741	21.830
3/22/2016 11:57:20 AM	276	4477.54	1.671	1.646	21.820
3/22/2016 12:00:56 PM	742	4694.00	1.571	1.554	21.830
3/22/2016 12:04:41 PM	491	4918.75	1.471	1.463	21.830
3/22/2016 12:08:43 PM	791	5161.05	1.370	1.370	21.830
3/22/2016 12:12:55 PM	419	5412.68	1.270	-99999.000	21.830

