KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFE2-10-18-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/22/2016 8:11:36 PM
Test duration	00:13:22

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.31
Fitting Parameter b [s-1]	-2.94E-03
Fitting Parameter c [cm]	-.8
Fitting Parameter r2 [-]	0.9996
Ks Total [cm/d]	170
Ks Total [m/s]	1.97E-05
Ks Soil [cm/d]	139
Ks Soil [m/s]	1.62E-05
Ks Soil normalized at 12.0 °C [cm/d]	108
Ks Soil normalized at 12.0 °C [m/s]	1.26E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
3/22/2016 8:11:36 PM	645	-5.21	0.962	-99999.000	21.770
3/22/2016 8:11:38 PM	221	-3.64	0.908	-99999.000	21.770
3/22/2016 8:11:39 PM	921	-1.94	1.037	-99999.000	21.770
3/22/2016 8:11:41 PM	856	0.00	5.213	5.213	21.770
3/22/2016 8:11:50 PM	420	8.56	5.105	5.106	21.780
3/22/2016 8:11:58 PM	595	16.74	5.004	5.006	21.780
3/22/2016 8:12:06 PM	738	24.88	4.904	4.909	21.780
3/22/2016 8:12:16 PM	347	34.49	4.788	4.798	21.780
3/22/2016 8:12:25 PM	395	43.54	4.681	4.695	21.780
3/22/2016 8:12:34 PM	241	52.38	4.580	4.598	21.780
3/22/2016 8:12:43 PM	632	61.78	4.478	4.497	21.780
3/22/2016 8:12:53 PM	491	71.63	4.375	4.395	21.780
3/22/2016 8:13:04 PM	474	82.62	4.265	4.284	21.780
3/22/2016 8:13:15 PM	82	93.23	4.162	4.180	21.780
3/22/2016 8:13:26 PM	392	104.54	4.057	4.073	21.780
3/22/2016 8:13:37 PM	780	115.92	3.954	3.969	21.780
3/22/2016 8:13:49 PM	573	127.72	3.853	3.864	21.770
3/22/2016 8:14:01 PM	570	139.71	3.752	3.762	21.770
3/22/2016 8:14:14 PM	627	152.77	3.648	3.654	21.770
3/22/2016 8:14:28 PM	807	166.95	3.542	3.542	21.780
3/22/2016 8:14:41 PM	334	179.48	3.434	3.446	21.780
3/22/2016 8:14:56 PM	388	194.53	3.330	3.336	21.780
3/22/2016 8:15:12 PM	207	210.35	3.222	3.226	21.780
3/22/2016 8:15:28 PM	275	226.42	3.120	3.118	21.790
3/22/2016 8:15:45 PM	91	243.24	3.017	3.011	21.780
3/22/2016 8:16:02 PM	875	261.02	2.915	2.904	21.780
3/22/2016 8:16:21 PM	439	279.58	2.813	2.798	21.780
3/22/2016 8:16:41 PM	517	299.66	2.709	2.689	21.780
3/22/2016 8:17:02 PM	468	320.61	2.609	2.582	21.780
3/22/2016 8:17:24 PM	183	342.33	2.508	2.478	21.780
3/22/2016 8:17:47 PM	786	365.93	2.407	2.373	21.780
3/22/2016 8:18:13 PM	11	391.15	2.307	2.268	21.790
3/22/2016 8:18:40 PM	935	419.08	2.205	2.160	21.790
3/22/2016 8:19:10 PM	747	448.89	2.101	2.054	21.790
3/22/2016 8:19:43 PM	304	481.45	1.999	1.949	21.790
3/22/2016 8:20:17 PM	858	516.00	1.896	1.848	21.780
3/22/2016 8:20:52 PM	849	550.99	1.795	1.755	21.780
3/22/2016 8:21:35 PM	671	593.81	1.694	1.654	21.790
3/22/2016 8:22:19 PM	398	637.54	1.594	1.563	21.780
3/22/2016 8:23:08 PM	54	686.20	1.493	1.475	21.780
3/22/2016 8:24:00 PM	455	738.60	1.393	1.393	21.790
3/22/2016 8:24:59 PM	516	797.66	1.293	-99999.000	21.770

