KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFE3-10-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/22/2016 8:35:00 PM
Test duration	00:38:10

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.39
Fitting Parameter b [s-1]	-1.12E-03
Fitting Parameter c [cm]	-1
Fitting Parameter r2 [-]	0.9932
Ks Total [cm/d]	64
Ks Total [m/s]	7.50E-06
Ks Soil [cm/d]	53
Ks Soil [m/s]	6.15E-06
Ks Soil normalized at 12.0 °C [cm/d]	41
Ks Soil normalized at 12.0 °C [m/s]	4.78E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
3/22/2016 8:35:00 PM	398	-3.56	1.849	-99999.000	21.660
3/22/2016 8:35:02 PM	598	-1.36	5.423	-99999.000	21.660
3/22/2016 8:35:03 PM	955	0.00	5.391	5.391	21.660
3/22/2016 8:35:10 PM	257	6.30	5.278	5.360	21.660
3/22/2016 8:35:17 PM	589	13.63	5.176	5.325	21.660
3/22/2016 8:35:37 PM	308	33.35	4.990	5.231	21.660
3/22/2016 8:35:50 PM	662	46.71	4.885	5.168	21.660
3/22/2016 8:36:04 PM	717	60.76	4.777	5.103	21.670
3/22/2016 8:36:19 PM	818	75.86	4.675	5.035	21.660
3/22/2016 8:36:35 PM	636	91.68	4.575	4.964	21.660
3/22/2016 8:36:52 PM	453	108.50	4.474	4.891	21.670
3/22/2016 8:37:11 PM	813	127.86	4.371	4.807	21.670
3/22/2016 8:37:31 PM	297	147.34	4.269	4.726	21.670
3/22/2016 8:37:53 PM	309	169.35	4.166	4.635	21.660
3/22/2016 8:38:16 PM	272	192.32	4.065	4.543	21.660
3/22/2016 8:38:40 PM	873	216.92	3.965	4.447	21.660
3/22/2016 8:39:06 PM	348	242.39	3.862	4.351	21.660
3/22/2016 8:39:34 PM	319	270.36	3.761	4.248	21.660
3/22/2016 8:40:04 PM	755	300.80	3.657	4.140	21.650
3/22/2016 8:40:36 PM	516	332.56	3.555	4.030	21.650
3/22/2016 8:41:05 PM	345	361.39	3.454	3.934	21.650
3/22/2016 8:41:41 PM	818	397.86	3.352	3.817	21.650
3/22/2016 8:42:20 PM	771	436.82	3.249	3.698	21.640
3/22/2016 8:43:00 PM	848	476.89	3.149	3.580	21.640
3/22/2016 8:43:45 PM	402	521.45	3.046	3.455	21.640
3/22/2016 8:44:32 PM	638	568.68	2.945	3.329	21.640
3/22/2016 8:45:24 PM	181	620.23	2.843	3.199	21.630
3/22/2016 8:46:19 PM	670	675.71	2.741	3.067	21.630
3/22/2016 8:47:18 PM	919	734.96	2.639	2.934	21.640
3/22/2016 8:48:21 PM	553	797.60	2.538	2.804	21.620
3/22/2016 8:49:28 PM	368	864.41	2.438	2.674	21.610
3/22/2016 8:50:43 PM	950	939.99	2.337	2.539	21.610
3/22/2016 8:52:06 PM	381	1022.43	2.236	2.404	21.600
3/22/2016 8:53:35 PM	317	1111.36	2.136	2.271	21.590
3/22/2016 8:55:15 PM	375	1211.42	2.035	2.137	21.590
3/22/2016 8:57:03 PM	827	1319.87	1.935	2.008	21.570
3/22/2016 8:59:03 PM	354	1439.40	1.834	1.882	21.550
3/22/2016 9:01:19 PM	152	1575.20	1.734	1.758	21.540
3/22/2016 9:03:48 PM	54	1724.10	1.634	1.642	21.520
3/22/2016 9:06:35 PM	802	1891.85	1.533	1.532	21.500
3/22/2016 9:09:41 PM	21	2077.07	1.433	1.433	21.480
3/22/2016 9:13:11 PM	356	2287.40	1.333	-99999.000	21.450

