KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFE4-10-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/22/2016 9:34:05 PM
Test duration	00:16:06

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.21
Fitting Parameter b [s-1]	-1.43E-03
Fitting Parameter c [cm]	.1
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	83
Ks Total [m/s]	9.62E-06
Ks Soil [cm/d]	68
Ks Soil [m/s]	7.89E-06
Ks Soil normalized at 12.0 °C [cm/d]	53
Ks Soil normalized at 12.0 °C [m/s]	6.20E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
3/22/2016 9:34:05 PM	68	-1.75	1.900	-99999.000	21.250
3/22/2016 9:34:06 PM	815	0.00	5.106	5.106	21.250
3/22/2016 9:34:35 PM	35	28.22	5.002	4.900	21.250
3/22/2016 9:34:49 PM	294	42.48	4.894	4.799	21.250
3/22/2016 9:35:05 PM	112	58.30	4.792	4.689	21.250
3/22/2016 9:35:20 PM	104	73.29	4.687	4.588	21.250
3/22/2016 9:35:34 PM	503	87.69	4.584	4.492	21.250
3/22/2016 9:35:50 PM	399	103.58	4.479	4.389	21.250
3/22/2016 9:36:06 PM	15	119.20	4.377	4.289	21.250
3/22/2016 9:36:21 PM	162	134.35	4.275	4.195	21.240
3/22/2016 9:36:37 PM	28	150.21	4.172	4.099	21.240
3/22/2016 9:36:53 PM	876	167.06	4.069	3.999	21.240
3/22/2016 9:37:11 PM	535	184.72	3.962	3.896	21.240
3/22/2016 9:37:28 PM	492	201.68	3.860	3.801	21.240
3/22/2016 9:37:46 PM	869	220.05	3.758	3.699	21.240
3/22/2016 9:38:05 PM	324	238.51	3.655	3.600	21.240
3/22/2016 9:38:23 PM	872	257.06	3.554	3.503	21.230
3/22/2016 9:38:43 PM	216	276.40	3.451	3.405	21.230
3/22/2016 9:39:01 PM	47	294.23	3.345	3.317	21.230
3/22/2016 9:39:21 PM	935	315.12	3.244	3.216	21.230
3/22/2016 9:39:43 PM	229	336.41	3.142	3.116	21.230
3/22/2016 9:40:05 PM	226	358.41	3.039	3.017	21.230
3/22/2016 9:40:28 PM	33	381.22	2.938	2.917	21.230
3/22/2016 9:40:52 PM	525	405.71	2.834	2.813	21.220
3/22/2016 9:41:17 PM	32	430.22	2.734	2.712	21.220
3/22/2016 9:41:42 PM	570	455.76	2.633	2.611	21.220
3/22/2016 9:42:09 PM	542	482.73	2.530	2.509	21.210
3/22/2016 9:42:37 PM	544	510.73	2.427	2.406	21.210
3/22/2016 9:43:06 PM	451	539.64	2.327	2.305	21.210
3/22/2016 9:43:37 PM	542	570.73	2.224	2.200	21.210
3/22/2016 9:44:08 PM	352	601.54	2.122	2.101	21.210
3/22/2016 9:44:43 PM	218	636.40	2.019	1.994	21.200
3/22/2016 9:45:16 PM	415	669.60	1.919	1.896	21.200
3/22/2016 9:45:51 PM	624	704.81	1.818	1.798	21.190
3/22/2016 9:46:29 PM	33	742.22	1.715	1.699	21.190
3/22/2016 9:47:08 PM	127	781.31	1.613	1.601	21.190
3/22/2016 9:47:48 PM	890	822.08	1.512	1.505	21.180
3/22/2016 9:48:32 PM	320	865.50	1.410	1.408	21.180
3/22/2016 9:49:20 PM	352	913.54	1.308	1.308	21.180
3/22/2016 9:50:11 PM	302	964.49	1.207	-99999.000	21.170

