KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFE6-10-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/22/2016 10:16:20 PM
Test duration	00:01:54

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6.04
Fitting Parameter b [s-1]	-9.29E-03
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9957
Ks Total [cm/d]	537
Ks Total [m/s]	6.24E-05
Ks Soil [cm/d]	443
Ks Soil [m/s]	5.15E-05
Ks Soil normalized at 12.0 °C [cm/d]	351
Ks Soil normalized at 12.0 °C [m/s]	4.08E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
3/22/2016 10:16:20 PM	930	-7.82	-5.287	-99999.000	20.850
3/22/2016 10:16:22 PM	662	-6.08	-5.324	-99999.000	20.850
3/22/2016 10:16:24 PM	3	-4.74	-5.366	-99999.000	20.850
3/22/2016 10:16:25 PM	813	-2.93	-5.036	-99999.000	20.850
3/22/2016 10:16:27 PM	467	-1.28	5.116	-99999.000	20.850
3/22/2016 10:16:28 PM	746	0.00	5.038	5.038	20.850
3/22/2016 10:16:32 PM	6	3.26	4.872	4.858	20.840
3/22/2016 10:16:34 PM	783	6.04	4.748	4.709	20.840
3/22/2016 10:16:37 PM	903	9.16	4.623	4.546	20.840
3/22/2016 10:16:40 PM	165	11.42	4.519	4.430	20.840
3/22/2016 10:16:43 PM	35	14.29	4.399	4.288	20.840
3/22/2016 10:16:45 PM	875	17.13	4.283	4.150	20.840
3/22/2016 10:16:59 PM	103	30.36	3.742	3.555	20.840
3/22/2016 10:17:02 PM	67	33.32	3.636	3.431	20.840
3/22/2016 10:17:09 PM	774	41.03	3.322	3.125	20.840
3/22/2016 10:17:12 PM	863	44.12	3.206	3.008	20.840
3/22/2016 10:17:15 PM	983	47.24	3.090	2.894	20.840
3/22/2016 10:17:19 PM	602	50.86	2.963	2.765	20.840
3/22/2016 10:17:23 PM	393	54.65	2.839	2.635	20.840
3/22/2016 10:17:28 PM	634	59.89	2.663	2.462	20.840
3/22/2016 10:17:31 PM	536	62.79	2.555	2.370	20.840
3/22/2016 10:17:34 PM	531	65.78	2.449	2.278	20.840
3/22/2016 10:17:38 PM	306	69.56	2.333	2.165	20.840
3/22/2016 10:17:41 PM	832	73.09	2.216	2.063	20.830
3/22/2016 10:17:45 PM	357	76.61	2.115	1.964	20.830
3/22/2016 10:17:48 PM	899	80.15	2.003	1.868	20.830
3/22/2016 10:17:52 PM	814	84.07	1.881	1.766	20.840
3/22/2016 10:17:56 PM	12	87.27	1.773	1.685	20.840
3/22/2016 10:18:00 PM	521	91.77	1.656	1.575	20.840
3/22/2016 10:18:04 PM	62	95.32	1.540	1.491	20.830
3/22/2016 10:18:07 PM	915	99.17	1.436	1.404	20.830
3/22/2016 10:18:11 PM	550	102.80	1.324	1.324	20.830
3/22/2016 10:18:15 PM	497	106.75	1.213	-99999.000	20.830

