KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFF3-10-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/22/2016 11:06:59 PM
Test duration	06:20:30

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.33
Fitting Parameter b [s-1]	-1.15E-04
Fitting Parameter c [cm]	-1
Fitting Parameter r2 [-]	0.9885
Ks Total [cm/d]	7
Ks Total [m/s]	7.75E-07
Ks Soil [cm/d]	5
Ks Soil [m/s]	6.36E-07
Ks Soil normalized at 12.0 °C [cm/d]	4
Ks Soil normalized at 12.0 °C [m/s]	5.17E-07

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
3/22/2016 11:06:59 PM	301	-3.34	3.853	-99999.000	20.330
3/22/2016 11:07:00 PM	907	-1.73	3.654	-99999.000	20.330
3/22/2016 11:07:02 PM	639	0.00	5.327	5.327	20.330
3/22/2016 11:09:57 PM	640	175.00	5.226	5.241	20.310
3/22/2016 11:12:49 PM	911	347.27	5.125	5.157	20.290
3/22/2016 11:15:52 PM	806	530.17	5.024	5.070	20.270
3/22/2016 11:18:56 PM	762	714.12	4.924	4.985	20.240
3/22/2016 11:22:09 PM	999	907.36	4.823	4.897	20.220
3/22/2016 11:25:23 PM	517	1100.88	4.722	4.811	20.190
3/22/2016 11:28:41 PM	310	1298.67	4.621	4.725	20.160
3/22/2016 11:32:03 PM	331	1500.69	4.520	4.639	20.140
3/22/2016 11:35:36 PM	957	1714.32	4.419	4.551	20.120
3/22/2016 11:39:09 PM	679	1927.04	4.319	4.464	20.090
3/22/2016 11:42:48 PM	594	2145.96	4.218	4.378	20.070
3/22/2016 11:46:35 PM	247	2372.61	4.117	4.291	20.050
3/22/2016 11:50:24 PM	848	2602.21	4.016	4.205	20.020
3/22/2016 11:54:32 PM	0	2849.36	3.915	4.115	20.000
3/22/2016 11:58:42 PM	786	3100.15	3.814	4.026	19.980
3/23/2016 12:03:00 AM	327	3357.69	3.713	3.937	19.960
3/23/2016 12:07:30 AM	4	3627.37	3.613	3.847	19.930
3/23/2016 12:12:34 AM	891	3932.25	3.512	3.749	19.900
3/23/2016 12:16:58 AM	532	4195.89	3.412	3.667	19.880
3/23/2016 12:22:06 AM	476	4503.84	3.311	3.574	19.860
3/23/2016 12:27:36 AM	651	4834.01	3.211	3.477	19.820
3/23/2016 12:33:29 AM	695	5187.06	3.110	3.378	19.770
3/23/2016 12:39:10 AM	618	5527.98	3.009	3.287	19.720
3/23/2016 12:45:10 AM	58	5887.42	2.909	3.194	19.660
3/23/2016 12:51:17 AM	423	6254.78	2.808	3.103	19.610
3/23/2016 12:57:54 AM	896	6652.26	2.708	3.009	19.550
3/23/2016 1:04:51 AM	11	7068.37	2.607	2.914	19.500
3/23/2016 1:12:06 AM	361	7503.72	2.507	2.821	19.430
3/23/2016 1:19:50 AM	197	7967.56	2.406	2.726	19.370
3/23/2016 1:28:09 AM	492	8466.85	2.305	2.629	19.320
3/23/2016 1:36:51 AM	765	8989.13	2.205	2.534	19.270
3/23/2016 1:46:57 AM	654	9595.01	2.104	2.430	19.230
3/23/2016 2:37:00 AM	238	12597.60	2.004	2.012	19.020
3/23/2016 2:51:20 AM	970	13458.33	1.903	1.916	18.970
3/23/2016 3:06:41 AM	996	14379.36	1.803	1.824	18.920
3/23/2016 3:24:11 AM	519	15428.88	1.703	1.730	18.860
3/23/2016 3:55:22 AM	991	17300.35	1.602	1.588	18.740
3/23/2016 4:20:42 AM	793	18820.15	1.502	1.493	18.650
3/23/2016 4:50:19 AM	152	20596.51	1.402	1.402	18.540
3/23/2016 5:27:29 AM	473	22826.83	1.301	-99999.000	18.390

