KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFG3-03-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/30/2016 11:07:34 PM
Test duration	00:58:53

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.31
Fitting Parameter b [s-1]	-3.64E-04
Fitting Parameter c [cm]	.3
Fitting Parameter r2 [-]	1.0000
Ks Total [cm/d]	21
Ks Total [m/s]	2.44E-06
Ks Soil [cm/d]	17
Ks Soil [m/s]	2.00E-06
Ks Soil normalized at 12.0 °C [cm/d]	13
Ks Soil normalized at 12.0 °C [m/s]	1.52E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
3/30/2016 11:07:34 PM	444	-11.01	1.334	-99999.000	22.750
3/30/2016 11:07:35 PM	770	-9.69	1.264	-99999.000	22.750
3/30/2016 11:07:44 PM	38	-1.42	5.014	-99999.000	22.750
3/30/2016 11:07:45 PM	458	0.00	5.010	5.010	22.750
3/30/2016 11:08:37 PM	297	51.84	4.909	4.911	22.740
3/30/2016 11:09:32 PM	443	106.99	4.807	4.807	22.740
3/30/2016 11:10:27 PM	916	162.46	4.706	4.705	22.730
3/30/2016 11:11:26 PM	884	221.43	4.604	4.599	22.730
3/30/2016 11:12:25 PM	775	280.32	4.503	4.495	22.720
3/30/2016 11:13:17 PM	161	331.70	4.402	4.406	22.710
3/30/2016 11:14:17 PM	346	391.89	4.301	4.305	22.700
3/30/2016 11:15:20 PM	27	454.57	4.199	4.201	22.700
3/30/2016 11:16:24 PM	34	518.58	4.097	4.097	22.690
3/30/2016 11:17:28 PM	774	583.32	3.997	3.995	22.690
3/30/2016 11:18:35 PM	121	649.66	3.895	3.892	22.680
3/30/2016 11:19:43 PM	12	717.55	3.793	3.790	22.670
3/30/2016 11:20:52 PM	900	787.44	3.691	3.688	22.660
3/30/2016 11:22:04 PM	520	859.06	3.589	3.585	22.650
3/30/2016 11:23:17 PM	684	932.23	3.487	3.483	22.650
3/30/2016 11:24:33 PM	204	1007.75	3.386	3.380	22.640
3/30/2016 11:25:51 PM	235	1085.78	3.285	3.277	22.630
3/30/2016 11:27:09 PM	766	1164.31	3.184	3.177	22.630
3/30/2016 11:28:31 PM	978	1246.52	3.083	3.074	22.620
3/30/2016 11:29:56 PM	156	1330.70	2.981	2.973	22.610
3/30/2016 11:31:22 PM	705	1417.25	2.880	2.871	22.610
3/30/2016 11:32:50 PM	408	1504.95	2.780	2.772	22.600
3/30/2016 11:34:21 PM	668	1596.21	2.679	2.671	22.590
3/30/2016 11:35:56 PM	813	1691.36	2.578	2.570	22.580
3/30/2016 11:37:33 PM	970	1788.51	2.478	2.471	22.570
3/30/2016 11:39:16 PM	977	1891.52	2.377	2.369	22.570
3/30/2016 11:41:01 PM	746	1996.29	2.277	2.269	22.560
3/30/2016 11:42:50 PM	728	2105.27	2.176	2.169	22.550
3/30/2016 11:44:42 PM	627	2217.17	2.076	2.071	22.540
3/30/2016 11:46:41 PM	905	2336.45	1.976	1.970	22.530
3/30/2016 11:48:44 PM	958	2459.50	1.875	1.871	22.530
3/30/2016 11:50:53 PM	986	2588.53	1.775	1.771	22.510
3/30/2016 11:53:08 PM	349	2722.89	1.675	1.672	22.500
3/30/2016 11:55:31 PM	666	2866.21	1.574	1.572	22.490
3/30/2016 11:58:00 PM	834	3015.38	1.474	1.473	22.480
3/31/2016 12:00:40 AM	79	3174.62	1.374	1.373	22.470
3/31/2016 12:03:30 AM	182	3344.72	1.273	1.273	22.460
3/31/2016 12:06:28 AM	443	3522.99	1.173	-99999.000	22.450

