KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFG5-03-18-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/31/2016 1:43:00 AM
Test duration	00:14:38

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6.3
Fitting Parameter b [s-1]	-1.14E-03
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9961
Ks Total [cm/d]	66
Ks Total [m/s]	7.66E-06
Ks Soil [cm/d]	54
Ks Soil [m/s]	6.28E-06
Ks Soil normalized at 12.0 °C [cm/d]	41
Ks Soil normalized at 12.0 °C [m/s]	4.81E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
3/31/2016 1:43:00 AM	250	-7.58	-5.513	-99999.000	22.320
3/31/2016 1:43:02 AM	668	-5.16	-5.519	-99999.000	22.320
3/31/2016 1:43:05 AM	444	-2.39	-0.060	-99999.000	22.320
3/31/2016 1:43:07 AM	831	0.00	5.300	5.300	22.320
3/31/2016 1:43:19 AM	718	11.89	5.195	5.215	22.320
3/31/2016 1:43:37 AM	612	29.78	5.090	5.090	22.320
3/31/2016 1:43:54 AM	132	46.30	4.990	4.976	22.320
3/31/2016 1:44:14 AM	662	66.83	4.885	4.838	22.320
3/31/2016 1:44:33 AM	429	85.60	4.783	4.715	22.320
3/31/2016 1:44:49 AM	138	101.31	4.682	4.613	22.320
3/31/2016 1:45:08 AM	466	120.63	4.579	4.491	22.320
3/31/2016 1:45:27 AM	826	139.99	4.477	4.371	22.320
3/31/2016 1:45:46 AM	983	159.15	4.375	4.255	22.320
3/31/2016 1:46:06 AM	998	179.17	4.270	4.137	22.320
3/31/2016 1:46:26 AM	778	198.95	4.168	4.022	22.320
3/31/2016 1:46:47 AM	308	219.48	4.065	3.906	22.320
3/31/2016 1:47:06 AM	964	239.13	3.964	3.797	22.330
3/31/2016 1:47:27 AM	447	259.62	3.861	3.687	22.330
3/31/2016 1:47:48 AM	273	280.44	3.761	3.577	22.330
3/31/2016 1:48:09 AM	21	301.19	3.660	3.470	22.330
3/31/2016 1:48:30 AM	331	322.50	3.558	3.363	22.330
3/31/2016 1:48:51 AM	859	344.03	3.456	3.257	22.330
3/31/2016 1:49:13 AM	652	365.82	3.354	3.152	22.330
3/31/2016 1:49:36 AM	54	388.22	3.252	3.048	22.330
3/31/2016 1:49:58 AM	268	410.44	3.149	2.947	22.340
3/31/2016 1:50:21 AM	574	433.74	3.043	2.843	22.330
3/31/2016 1:50:44 AM	772	456.94	2.941	2.743	22.330
3/31/2016 1:51:07 AM	907	480.08	2.840	2.646	22.330
3/31/2016 1:51:31 AM	41	503.21	2.738	2.551	22.330
3/31/2016 1:51:55 AM	175	527.34	2.635	2.454	22.330
3/31/2016 1:52:19 AM	323	551.49	2.533	2.361	22.330
3/31/2016 1:52:44 AM	159	576.33	2.429	2.267	22.330
3/31/2016 1:53:09 AM	883	602.05	2.324	2.172	22.330
3/31/2016 1:53:34 AM	781	626.95	2.223	2.084	22.340
3/31/2016 1:54:00 AM	646	652.81	2.122	1.994	22.330
3/31/2016 1:54:26 AM	978	679.15	2.019	1.906	22.330
3/31/2016 1:54:52 AM	859	705.03	1.918	1.821	22.330
3/31/2016 1:55:19 AM	941	732.11	1.817	1.735	22.330
3/31/2016 1:55:46 AM	695	758.86	1.717	1.653	22.330
3/31/2016 1:56:14 AM	104	786.27	1.615	1.572	22.330
3/31/2016 1:56:41 AM	778	813.95	1.515	1.492	22.330
3/31/2016 1:57:10 AM	14	842.18	1.413	1.413	22.330
3/31/2016 1:57:39 AM	218	871.39	1.311	-99999.000	22.330

