KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFH1-03-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	4/7/2016 8:36:06 PM
Test duration	02:42:57

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.6
Fitting Parameter b [s-1]	-1.30E-04
Fitting Parameter c [cm]	.3
Fitting Parameter r2 [-]	1.0000
Ks Total [cm/d]	7
Ks Total [m/s]	8.72E-07
Ks Soil [cm/d]	6
Ks Soil [m/s]	7.14E-07
Ks Soil normalized at 12.0 °C [cm/d]	5
Ks Soil normalized at 12.0 °C [m/s]	5.40E-07

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
4/7/2016 8:36:06 PM	605	-3.98	1.209	-99999.000	23.290
4/7/2016 8:36:07 PM	868	-2.72	1.175	-99999.000	23.290
4/7/2016 8:36:09 PM	85	-1.50	5.299	-99999.000	23.290
4/7/2016 8:36:10 PM	583	0.00	5.300	5.300	23.290
4/7/2016 8:37:48 PM	878	98.29	5.200	5.229	23.280
4/7/2016 8:39:36 PM	51	205.47	5.099	5.153	23.270
4/7/2016 8:42:03 PM	65	352.48	4.998	5.050	23.260
4/7/2016 8:44:35 PM	649	505.07	4.898	4.945	23.230
4/7/2016 8:47:12 PM	133	661.55	4.797	4.840	23.220
4/7/2016 8:49:51 PM	643	821.06	4.696	4.734	23.190
4/7/2016 8:52:33 PM	587	983.00	4.595	4.630	23.180
4/7/2016 8:55:18 PM	11	1147.43	4.494	4.526	23.160
4/7/2016 8:58:06 PM	835	1316.25	4.393	4.421	23.140
4/7/2016 9:00:56 PM	142	1485.56	4.292	4.319	23.120
4/7/2016 9:03:49 PM	864	1659.28	4.191	4.216	23.100
4/7/2016 9:06:19 PM	967	1809.38	4.090	4.129	23.090
4/7/2016 9:09:19 PM	321	1988.74	3.990	4.027	23.070
4/7/2016 9:12:21 PM	935	2171.35	3.889	3.926	23.050
4/7/2016 9:15:29 PM	900	2359.32	3.788	3.824	23.030
4/7/2016 9:18:40 PM	672	2550.09	3.688	3.723	23.010
4/7/2016 9:22:00 PM	821	2750.24	3.587	3.620	23.000
4/7/2016 9:25:28 PM	644	2958.06	3.486	3.516	22.980
4/7/2016 9:28:56 PM	405	3165.82	3.386	3.415	22.970
4/7/2016 9:32:30 PM	703	3380.12	3.285	3.313	22.950
4/7/2016 9:36:15 PM	905	3605.32	3.185	3.209	22.930
4/7/2016 9:40:06 PM	489	3835.91	3.084	3.105	22.900
4/7/2016 9:43:59 PM	772	4069.19	2.984	3.004	22.880
4/7/2016 9:48:08 PM	623	4318.04	2.883	2.899	22.850
4/7/2016 9:52:18 PM	645	4568.06	2.782	2.797	22.820
4/7/2016 9:56:33 PM	627	4823.04	2.682	2.696	22.790
4/7/2016 10:00:58 PM	797	5088.21	2.581	2.595	22.760
4/7/2016 10:05:33 PM	435	5362.85	2.481	2.494	22.710
4/7/2016 10:10:18 PM	510	5647.93	2.380	2.392	22.670
4/7/2016 10:15:09 PM	575	5938.99	2.280	2.293	22.630
4/7/2016 10:20:16 PM	38	6245.45	2.179	2.192	22.570
4/7/2016 10:25:36 PM	73	6565.49	2.078	2.090	22.510
4/7/2016 10:31:02 PM	207	6891.62	1.978	1.991	22.460
4/7/2016 10:36:49 PM	214	7238.63	1.878	1.890	22.410
4/7/2016 10:43:02 PM	850	7612.27	1.778	1.787	22.380
4/7/2016 10:49:29 PM	309	7998.73	1.678	1.685	22.350
4/7/2016 10:56:11 PM	244	8400.66	1.578	1.584	22.300
4/7/2016 11:03:32 PM	975	8842.39	1.477	1.479	22.260
4/7/2016 11:11:09 PM	213	9298.63	1.377	1.377	22.210
4/7/2016 11:19:03 PM	813	9773.23	1.277	-99999.000	22.150

