KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFH5-03-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	4/12/2016 10:29:18 PM
Test duration	00:07:15

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.89
Fitting Parameter b [s-1]	-3.79E-03
Fitting Parameter c [cm]	-.3
Fitting Parameter r2 [-]	1.0000
Ks Total [cm/d]	219
Ks Total [m/s]	2.55E-05
Ks Soil [cm/d]	180
Ks Soil [m/s]	2.09E-05
Ks Soil normalized at 12.0 °C [cm/d]	141
Ks Soil normalized at 12.0 °C [m/s]	1.64E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
4/12/2016 10:29:18 PM	171	-2.78	0.204	-99999.000	21.330
4/12/2016 10:29:19 PM	528	-1.42	2.719	-99999.000	21.330
4/12/2016 10:29:20 PM	947	0.00	5.186	5.186	21.330
4/12/2016 10:29:27 PM	562	6.62	5.066	5.065	21.330
4/12/2016 10:29:33 PM	646	12.70	4.963	4.956	21.320
4/12/2016 10:29:56 PM	188	35.24	4.594	4.575	21.320
4/12/2016 10:30:03 PM	177	42.23	4.489	4.463	21.310
4/12/2016 10:30:09 PM	994	49.05	4.380	4.357	21.310
4/12/2016 10:30:16 PM	125	55.18	4.273	4.264	21.310
4/12/2016 10:30:23 PM	597	62.65	4.169	4.153	21.310
4/12/2016 10:30:30 PM	851	69.90	4.063	4.048	21.310
4/12/2016 10:30:38 PM	729	77.78	3.960	3.938	21.310
4/12/2016 10:30:46 PM	529	85.58	3.859	3.832	21.310
4/12/2016 10:30:54 PM	298	93.35	3.755	3.730	21.300
4/12/2016 10:31:01 PM	957	101.01	3.654	3.631	21.300
4/12/2016 10:31:10 PM	647	109.70	3.544	3.523	21.300
4/12/2016 10:31:20 PM	350	119.40	3.435	3.407	21.300
4/12/2016 10:31:29 PM	55	128.11	3.331	3.306	21.290
4/12/2016 10:31:37 PM	838	136.89	3.226	3.208	21.290
4/12/2016 10:31:47 PM	510	146.56	3.119	3.103	21.290
4/12/2016 10:31:57 PM	119	156.17	3.017	3.003	21.290
4/12/2016 10:32:07 PM	524	166.58	2.907	2.898	21.280
4/12/2016 10:32:18 PM	694	177.75	2.797	2.790	21.280
4/12/2016 10:32:30 PM	191	189.24	2.689	2.684	21.280
4/12/2016 10:32:42 PM	297	201.35	2.583	2.577	21.270
4/12/2016 10:32:53 PM	934	212.99	2.480	2.479	21.270
4/12/2016 10:33:06 PM	493	225.55	2.375	2.378	21.280
4/12/2016 10:33:20 PM	392	239.44	2.268	2.271	21.270
4/12/2016 10:33:34 PM	744	253.80	2.164	2.167	21.260
4/12/2016 10:33:49 PM	549	268.60	2.063	2.065	21.260
4/12/2016 10:34:05 PM	164	284.22	1.960	1.963	21.250
4/12/2016 10:34:21 PM	685	300.74	1.859	1.862	21.250
4/12/2016 10:34:39 PM	890	318.94	1.758	1.758	21.240
4/12/2016 10:34:58 PM	142	337.20	1.658	1.661	21.240
4/12/2016 10:35:18 PM	968	358.02	1.557	1.557	21.230
4/12/2016 10:35:41 PM	510	380.56	1.453	1.454	21.220
4/12/2016 10:36:05 PM	971	405.02	1.352	1.352	21.210
4/12/2016 10:36:33 PM	489	432.54	1.251	-99999.000	21.200

