KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFI6-03-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	4/19/2016 10:25:43 PM
Test duration	01:31:07

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.4
Fitting Parameter b [s-1]	-2.28E-04
Fitting Parameter c [cm]	.3
Fitting Parameter r2 [-]	1.0000
Ks Total [cm/d]	13
Ks Total [m/s]	1.53E-06
Ks Soil [cm/d]	11
Ks Soil [m/s]	1.26E-06
Ks Soil normalized at 12.0 °C [cm/d]	8
Ks Soil normalized at 12.0 °C [m/s]	9.11E-07

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
4/19/2016 10:25:43 PM	877	-4.07	2.680	-99999.000	25.010
4/19/2016 10:25:46 PM	607	-1.34	5.108	-99999.000	25.010
4/19/2016 10:25:47 PM	948	0.00	5.100	5.100	25.010
4/19/2016 10:27:10 PM	114	82.17	4.999	5.000	25.020
4/19/2016 10:28:34 PM	806	166.86	4.898	4.898	25.010
4/19/2016 10:30:05 PM	614	257.67	4.796	4.791	25.020
4/19/2016 10:31:34 PM	659	346.71	4.693	4.689	25.020
4/19/2016 10:33:08 PM	228	440.28	4.592	4.583	25.020
4/19/2016 10:34:39 PM	410	531.46	4.491	4.483	25.030
4/19/2016 10:36:16 PM	52	628.10	4.389	4.378	25.020
4/19/2016 10:37:52 PM	804	724.86	4.288	4.276	25.030
4/19/2016 10:39:32 PM	597	824.65	4.187	4.173	25.020
4/19/2016 10:41:14 PM	340	926.39	4.085	4.070	25.040
4/19/2016 10:42:57 PM	971	1030.02	3.983	3.968	25.030
4/19/2016 10:44:29 PM	231	1121.28	3.881	3.880	25.030
4/19/2016 10:46:17 PM	28	1229.08	3.781	3.779	25.030
4/19/2016 10:48:08 PM	318	1340.37	3.679	3.676	25.040
4/19/2016 10:50:05 PM	662	1457.71	3.576	3.571	25.030
4/19/2016 10:52:04 PM	690	1576.74	3.475	3.467	25.040
4/19/2016 10:54:03 PM	312	1695.36	3.374	3.367	25.040
4/19/2016 10:56:05 PM	617	1817.67	3.273	3.266	25.030
4/19/2016 10:58:12 PM	351	1944.40	3.172	3.164	25.040
4/19/2016 11:00:20 PM	708	2072.76	3.070	3.064	25.050
4/19/2016 11:02:38 PM	581	2210.63	2.968	2.960	25.040
4/19/2016 11:05:00 PM	276	2352.33	2.866	2.856	25.040
4/19/2016 11:07:21 PM	379	2493.43	2.765	2.756	25.040
4/19/2016 11:09:48 PM	175	2640.23	2.665	2.655	25.060
4/19/2016 11:12:23 PM	567	2795.62	2.563	2.552	25.050
4/19/2016 11:15:03 PM	280	2955.33	2.462	2.450	25.050
4/19/2016 11:17:50 PM	75	3122.13	2.361	2.347	25.050
4/19/2016 11:20:40 PM	209	3292.26	2.259	2.246	25.060
4/19/2016 11:23:36 PM	817	3468.87	2.159	2.146	25.060
4/19/2016 11:26:43 PM	81	3655.13	2.058	2.044	25.060
4/19/2016 11:29:51 PM	249	3843.30	1.957	1.945	25.050
4/19/2016 11:33:11 PM	241	4043.29	1.857	1.845	25.060
4/19/2016 11:36:36 PM	782	4248.83	1.757	1.747	25.050
4/19/2016 11:40:12 PM	998	4465.05	1.657	1.648	25.050
4/19/2016 11:44:01 PM	258	4693.31	1.555	1.549	25.050
4/19/2016 11:48:04 PM	696	4936.75	1.454	1.449	25.050
4/19/2016 11:52:09 PM	336	5181.39	1.354	1.354	25.040
4/19/2016 11:56:51 PM	369	5463.42	1.253	-99999.000	25.050

