KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	KFJ5-03-18-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	6/7/2016 1:21:32 PM
Test duration	26:04:08

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	NaN
Fitting Parameter b [s-1]	NaN
Fitting Parameter c [cm]	
Fitting Parameter r2 [-]	NaN
Ks Total [cm/d]	0
Ks Total [m/s]	0.00E+000
Ks Soil [cm/d]	NaN
Ks Soil [m/s]	NaN
Ks Soil normalized at 12.0 °C [cm/d]	NaN
Ks Soil normalized at 12.0 °C [m/s]	NaN

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
6/7/2016 1:21:32 PM	769	0.00	5.204	-99999.000	27.510
6/7/2016 1:21:34 PM	126	1.36	5.195	-99999.000	27.510
6/7/2016 1:21:35 PM	327	2.56	5.196	-99999.000	27.510
6/7/2016 1:21:36 PM	497	3.73	5.468	-99999.000	27.510
6/7/2016 1:21:37 PM	667	4.90	5.744	-99999.000	27.510
6/7/2016 1:21:38 PM	822	6.05	5.742	-99999.000	27.510
6/7/2016 1:21:39 PM	961	7.19	5.741	-99999.000	27.510
6/7/2016 1:21:41 PM	84	8.32	5.743	-99999.000	27.510
6/7/2016 1:21:42 PM	176	9.41	5.740	-99999.000	27.510
6/7/2016 1:21:43 PM	330	10.56	5.742	-99999.000	27.510
6/7/2016 1:21:44 PM	453	11.68	5.741	-99999.000	27.510
6/7/2016 1:21:45 PM	592	12.82	5.739	-99999.000	27.510
6/7/2016 1:21:46 PM	700	13.93	5.744	-99999.000	27.510
6/7/2016 1:21:47 PM	807	15.04	5.740	-99999.000	27.510
6/7/2016 1:21:48 PM	962	16.19	5.743	-99999.000	27.510
6/7/2016 1:21:50 PM	85	17.32	5.742	-99999.000	27.510
6/7/2016 1:21:51 PM	193	18.42	5.741	-99999.000	27.510
6/7/2016 1:21:52 PM	331	19.56	5.745	-99999.000	27.510
6/7/2016 1:21:53 PM	455	20.69	5.740	-99999.000	27.510
6/7/2016 1:21:54 PM	578	21.81	5.743	-99999.000	27.510
6/7/2016 1:21:55 PM	685	22.92	5.739	-99999.000	27.510
6/7/2016 1:21:56 PM	824	24.05	5.739	-99999.000	27.510
6/7/2016 1:21:57 PM	947	25.18	5.742	-99999.000	27.510
6/7/2016 1:21:59 PM	71	26.30	5.737	-99999.000	27.510
6/7/2016 1:22:00 PM	178	27.41	5.740	-99999.000	27.510
6/7/2016 1:22:01 PM	301	28.53	5.738	-99999.000	27.510
6/7/2016 1:22:02 PM	471	29.70	5.739	-99999.000	27.510
6/7/2016 1:22:03 PM	579	30.81	5.739	-99999.000	27.510
6/7/2016 1:22:04 PM	687	31.92	5.736	-99999.000	27.510
6/7/2016 1:22:05 PM	825	33.06	5.742	-99999.000	27.510
6/7/2016 1:22:06 PM	964	34.20	5.739	-99999.000	27.510
6/7/2016 1:22:08 PM	72	35.30	5.738	-99999.000	27.510
6/7/2016 1:22:09 PM	195	36.43	5.738	-99999.000	27.510
6/7/2016 1:22:10 PM	349	37.58	5.737	-99999.000	27.510
6/7/2016 1:22:11 PM	504	38.74	5.741	-99999.000	27.510
6/7/2016 1:22:12 PM	643	39.87	5.736	-99999.000	27.510
6/7/2016 1:22:13 PM	781	41.01	5.739	-99999.000	27.510
6/7/2016 1:22:14 PM	889	42.12	5.739	-99999.000	27.510
6/7/2016 1:22:16 PM	90	43.32	5.736	-99999.000	27.510
6/7/2016 1:22:17 PM	276	44.51	5.738	-99999.000	27.510
6/7/2016 1:22:18 PM	430	45.66	5.735	-99999.000	27.510
6/7/2016 1:22:19 PM	538	46.77	5.739	-99999.000	27.510
6/7/2016 1:22:20 PM	645	47.88	5.736	-99999.000	27.510
6/7/2016 1:22:21 PM	769	49.00	5.738	-99999.000	27.510
6/7/2016 1:22:22 PM	892	50.12	5.741	-99999.000	27.510
6/7/2016 1:22:23 PM	999	51.23	5.733	-99999.000	27.510
6/7/2016 1:22:25 PM	169	52.40	5.739	-99999.000	27.510
