KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKA4_9-24-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 12:16:59 PM
Test duration	00:00:56

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6.04
Fitting Parameter b [s-1]	-1.87E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9928
Ks Total [cm/d]	1080
Ks Total [m/s]	1.26E-04
Ks Soil [cm/d]	897
Ks Soil [m/s]	1.04E-04
Ks Soil normalized at 12.0 °C [cm/d]	712
Ks Soil normalized at 12.0 °C [m/s]	8.28E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 12:16:59 PM	440	-3.59	-6.009	-99999.000	20.740
10/16/2015 12:17:00 PM	969	-2.06	-6.016	-99999.000	20.740
10/16/2015 12:17:02 PM	14	-1.01	-6.015	-99999.000	20.740
10/16/2015 12:17:03 PM	28	0.00	5.039	5.039	20.740
10/16/2015 12:17:05 PM	196	2.17	4.795	4.800	20.740
10/16/2015 12:17:07 PM	474	4.45	4.601	4.558	20.740
10/16/2015 12:17:09 PM	721	6.69	4.442	4.330	20.750
10/16/2015 12:17:11 PM	109	8.08	4.316	4.193	20.750
10/16/2015 12:17:13 PM	387	10.36	4.158	3.977	20.750
10/16/2015 12:17:14 PM	775	11.75	4.035	3.850	20.750
10/16/2015 12:17:17 PM	84	14.06	3.852	3.645	20.750
10/16/2015 12:17:18 PM	535	15.51	3.731	3.521	20.750
10/16/2015 12:17:20 PM	828	17.80	3.582	3.332	20.750
10/16/2015 12:17:22 PM	247	19.22	3.464	3.219	20.750
10/16/2015 12:17:23 PM	683	20.66	3.348	3.107	20.750
10/16/2015 12:17:25 PM	976	22.95	3.204	2.935	20.750
10/16/2015 12:17:27 PM	395	24.37	3.090	2.832	20.750
10/16/2015 12:17:28 PM	799	25.77	2.977	2.733	20.750
10/16/2015 12:17:31 PM	77	28.05	2.837	2.578	20.750
10/16/2015 12:17:32 PM	497	29.47	2.727	2.484	20.750
10/16/2015 12:17:34 PM	759	31.73	2.592	2.340	20.750
10/16/2015 12:17:36 PM	178	33.15	2.484	2.253	20.750
10/16/2015 12:17:37 PM	613	34.59	2.377	2.167	20.750
10/16/2015 12:17:39 PM	891	36.86	2.220	2.035	20.760
10/16/2015 12:17:42 PM	184	39.16	2.091	1.908	20.760
10/16/2015 12:17:43 PM	604	40.58	1.989	1.832	20.760
10/16/2015 12:17:45 PM	23	42.00	1.888	1.758	20.760
10/16/2015 12:17:47 PM	301	44.27	1.764	1.643	20.760
10/16/2015 12:17:48 PM	721	45.69	1.651	1.574	20.760
10/16/2015 12:17:50 PM	998	47.97	1.530	1.467	20.760
10/16/2015 12:17:53 PM	276	50.25	1.364	1.364	20.760
10/16/2015 12:17:55 PM	553	52.52	1.247	-99999.000	20.760

