KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKA5_9-24-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 1:01:13 PM
Test duration	00:06:18

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.5
Fitting Parameter b [s-1]	-3.16E-03
Fitting Parameter c [cm]	.5
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	183
Ks Total [m/s]	2.12E-05
Ks Soil [cm/d]	150
Ks Soil [m/s]	1.75E-05
Ks Soil normalized at 12.0 °C [cm/d]	118
Ks Soil normalized at 12.0 °C [m/s]	1.38E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 1:01:13 PM	161	-3.70	1.581	-99999.000	21.060
10/16/2015 1:01:14 PM	736	-2.12	0.936	-99999.000	21.060
10/16/2015 1:01:15 PM	813	-1.04	4.978	-99999.000	21.060
10/16/2015 1:01:16 PM	858	0.00	5.000	5.000	21.060
10/16/2015 1:01:20 PM	774	3.92	4.892	4.932	21.060
10/16/2015 1:01:27 PM	357	10.50	4.783	4.820	21.060
10/16/2015 1:01:33 PM	940	17.08	4.670	4.711	21.060
10/16/2015 1:01:40 PM	508	23.65	4.567	4.604	21.060
10/16/2015 1:01:47 PM	138	30.28	4.459	4.498	21.060
10/16/2015 1:01:54 PM	626	37.77	4.341	4.381	21.050
10/16/2015 1:02:02 PM	67	45.21	4.228	4.268	21.050
10/16/2015 1:02:09 PM	508	52.65	4.122	4.157	21.050
10/16/2015 1:02:16 PM	169	59.31	4.019	4.060	21.050
10/16/2015 1:02:24 PM	500	67.64	3.908	3.941	21.050
10/16/2015 1:02:31 PM	956	75.10	3.800	3.838	21.050
10/16/2015 1:02:40 PM	302	83.44	3.695	3.725	21.050
10/16/2015 1:02:48 PM	695	91.84	3.587	3.614	21.050
10/16/2015 1:02:57 PM	26	100.17	3.477	3.507	21.050
10/16/2015 1:03:05 PM	372	108.51	3.376	3.403	21.050
10/16/2015 1:03:14 PM	545	117.69	3.268	3.292	21.050
10/16/2015 1:03:23 PM	749	126.89	3.163	3.183	21.050
10/16/2015 1:03:32 PM	937	136.08	3.062	3.077	21.050
10/16/2015 1:03:42 PM	188	145.33	2.958	2.974	21.060
10/16/2015 1:03:52 PM	297	155.44	2.854	2.865	21.060
10/16/2015 1:04:02 PM	374	165.52	2.750	2.760	21.060
10/16/2015 1:04:13 PM	247	176.39	2.649	2.649	21.070
10/16/2015 1:04:23 PM	356	186.50	2.547	2.550	21.060
10/16/2015 1:04:35 PM	134	198.28	2.439	2.439	21.060
10/16/2015 1:04:46 PM	912	210.05	2.337	2.332	21.060
10/16/2015 1:04:58 PM	675	221.82	2.233	2.228	21.060
10/16/2015 1:05:11 PM	264	234.41	2.129	2.122	21.060
10/16/2015 1:05:24 PM	758	247.90	2.024	2.012	21.060
10/16/2015 1:05:39 PM	79	262.22	1.915	1.901	21.060
10/16/2015 1:05:51 PM	699	274.84	1.808	1.807	21.060
10/16/2015 1:06:05 PM	989	289.13	1.708	1.705	21.060
10/16/2015 1:06:21 PM	152	304.29	1.603	1.602	21.060
10/16/2015 1:06:36 PM	362	319.50	1.501	1.503	21.070
10/16/2015 1:06:53 PM	288	336.43	1.399	1.399	21.070
10/16/2015 1:07:11 PM	119	354.26	1.295	1.295	21.080
10/16/2015 1:07:31 PM	477	374.62	1.190	-99999.000	21.080

