KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKB3_9-24-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 11:56:10 AM
Test duration	00:07:42

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6.19
Fitting Parameter b [s-1]	-2.24E-03
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9991
Ks Total [cm/d]	130
Ks Total [m/s]	1.51E-05
Ks Soil [cm/d]	106
Ks Soil [m/s]	1.24E-05
Ks Soil normalized at 12.0 °C [cm/d]	85
Ks Soil normalized at 12.0 °C [m/s]	9.86E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 11:56:10 AM	49	-4.43	3.008	-99999.000	20.520
10/16/2015 11:56:11 AM	407	-3.07	2.610	-99999.000	20.520
10/16/2015 11:56:12 AM	421	-2.06	2.387	-99999.000	20.520
10/16/2015 11:56:13 AM	466	-1.01	5.200	-99999.000	20.520
10/16/2015 11:56:14 AM	480	0.00	5.190	5.190	20.520
10/16/2015 11:56:22 AM	686	8.21	5.081	5.077	20.520
10/16/2015 11:56:30 AM	954	16.47	4.979	4.966	20.530
10/16/2015 11:56:39 AM	253	24.77	4.870	4.856	20.530
10/16/2015 11:56:47 AM	568	33.09	4.767	4.748	20.530
10/16/2015 11:56:56 AM	725	42.25	4.659	4.631	20.530
10/16/2015 11:57:05 AM	55	50.57	4.557	4.527	20.530
10/16/2015 11:57:14 AM	212	59.73	4.455	4.415	20.530
10/16/2015 11:57:23 AM	401	68.92	4.352	4.304	20.530
10/16/2015 11:57:32 AM	620	78.14	4.246	4.196	20.540
10/16/2015 11:57:42 AM	620	88.14	4.142	4.081	20.540
10/16/2015 11:57:52 AM	651	98.17	4.034	3.968	20.540
10/16/2015 11:58:02 AM	682	108.20	3.930	3.857	20.540
10/16/2015 11:58:12 AM	744	118.26	3.825	3.749	20.540
10/16/2015 11:58:23 AM	648	129.17	3.715	3.635	20.560
10/16/2015 11:58:34 AM	584	140.10	3.608	3.522	20.540
10/16/2015 11:58:45 AM	473	150.99	3.507	3.413	20.550
10/16/2015 11:58:56 AM	315	161.83	3.403	3.307	20.550
10/16/2015 11:59:08 AM	77	173.60	3.297	3.195	20.550
10/16/2015 11:59:19 AM	808	185.33	3.192	3.087	20.550
10/16/2015 11:59:30 AM	713	196.23	3.087	2.988	20.550
10/16/2015 11:59:42 AM	459	207.98	2.983	2.884	20.550
10/16/2015 11:59:54 AM	222	219.74	2.880	2.783	20.550
10/16/2015 12:00:06 PM	842	232.36	2.771	2.678	20.560
10/16/2015 12:00:19 PM	541	245.06	2.664	2.575	20.570
10/16/2015 12:00:32 PM	208	257.73	2.564	2.475	20.570
10/16/2015 12:00:44 PM	750	270.27	2.462	2.378	20.580
10/16/2015 12:00:58 PM	260	283.78	2.353	2.278	20.580
10/16/2015 12:01:12 PM	581	298.10	2.246	2.174	20.580
10/16/2015 12:01:26 PM	933	312.45	2.141	2.074	20.590
10/16/2015 12:01:41 PM	238	326.76	2.039	1.977	20.590
10/16/2015 12:01:55 PM	559	341.08	1.938	1.883	20.590
10/16/2015 12:02:10 PM	831	356.35	1.833	1.786	20.590
10/16/2015 12:02:26 PM	884	372.40	1.730	1.687	20.590
10/16/2015 12:02:40 PM	362	385.88	1.629	1.607	20.590
10/16/2015 12:02:57 PM	241	402.76	1.527	1.511	20.590
10/16/2015 12:03:14 PM	994	420.51	1.420	1.413	20.590
10/16/2015 12:03:33 PM	652	439.17	1.314	1.314	20.600
10/16/2015 12:03:52 PM	247	457.77	1.212	-99999.000	20.610

