KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKB4_9-24-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 12:33:55 PM
Test duration	00:07:18

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.92
Fitting Parameter b [s-1]	-3.46E-03
Fitting Parameter c [cm]	-.1
Fitting Parameter r2 [-]	1.0000
Ks Total [cm/d]	200
Ks Total [m/s]	2.33E-05
Ks Soil [cm/d]	164
Ks Soil [m/s]	1.91E-05
Ks Soil normalized at 12.0 °C [cm/d]	130
Ks Soil normalized at 12.0 °C [m/s]	1.51E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 12:33:55 PM	376	-2.06	0.080	-99999.000	20.920
10/16/2015 12:33:56 PM	421	-1.01	0.079	-99999.000	20.920
10/16/2015 12:33:57 PM	435	0.00	5.022	5.022	20.920
10/16/2015 12:34:01 PM	382	3.95	4.918	4.955	20.920
10/16/2015 12:34:07 PM	950	10.52	4.811	4.846	20.920
10/16/2015 12:34:14 PM	533	17.10	4.710	4.739	20.920
10/16/2015 12:34:21 PM	148	23.71	4.605	4.634	20.920
10/16/2015 12:34:27 PM	762	30.33	4.501	4.531	20.920
10/16/2015 12:34:35 PM	203	37.77	4.396	4.419	20.940
10/16/2015 12:34:41 PM	833	44.40	4.293	4.321	20.930
10/16/2015 12:34:49 PM	290	51.86	4.187	4.213	20.930
10/16/2015 12:34:57 PM	558	60.12	4.078	4.097	20.930
10/16/2015 12:35:05 PM	62	67.63	3.974	3.995	20.930
10/16/2015 12:35:13 PM	376	75.94	3.865	3.884	20.930
10/16/2015 12:35:21 PM	707	84.27	3.764	3.777	20.930
10/16/2015 12:35:30 PM	6	92.57	3.662	3.673	20.930
10/16/2015 12:35:39 PM	148	101.71	3.554	3.561	20.930
10/16/2015 12:35:47 PM	462	110.03	3.453	3.463	20.930
10/16/2015 12:35:56 PM	620	119.19	3.353	3.358	20.930
10/16/2015 12:36:05 PM	870	128.44	3.250	3.255	20.930
10/16/2015 12:36:15 PM	917	138.48	3.145	3.148	20.930
10/16/2015 12:36:26 PM	10	148.58	3.043	3.043	20.930
10/16/2015 12:36:36 PM	10	158.58	2.940	2.943	20.930
10/16/2015 12:36:46 PM	961	169.53	2.833	2.837	20.940
10/16/2015 12:36:58 PM	723	181.29	2.727	2.728	20.940
10/16/2015 12:37:09 PM	721	192.29	2.625	2.630	20.940
10/16/2015 12:37:22 PM	326	204.89	2.523	2.522	20.950
10/16/2015 12:37:34 PM	89	216.65	2.422	2.425	20.950
10/16/2015 12:37:46 PM	771	229.34	2.321	2.325	20.950
10/16/2015 12:38:00 PM	250	242.82	2.220	2.224	20.950
10/16/2015 12:38:15 PM	507	258.07	2.112	2.115	20.960
10/16/2015 12:38:31 PM	559	274.12	2.005	2.006	20.960
10/16/2015 12:38:47 PM	627	290.19	1.905	1.903	20.960
10/16/2015 12:39:02 PM	10	304.58	1.805	1.815	20.960
10/16/2015 12:39:19 PM	826	322.39	1.701	1.712	20.960
10/16/2015 12:39:38 PM	561	341.13	1.601	1.611	20.960
10/16/2015 12:39:59 PM	715	362.28	1.496	1.504	20.960
10/16/2015 12:40:22 PM	709	385.27	1.391	1.397	20.960
10/16/2015 12:40:47 PM	342	409.91	1.291	1.291	20.960
10/16/2015 12:41:13 PM	721	436.29	1.189	-99999.000	20.960

