KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKB5_9-24-15_004

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 1:28:43 PM
Test duration	00:02:55

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.85
Fitting Parameter b [s-1]	-6.24E-03
Fitting Parameter c [cm]	.8
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	361
Ks Total [m/s]	4.20E-05
Ks Soil [cm/d]	297
Ks Soil [m/s]	3.46E-05
Ks Soil normalized at 12.0 °C [cm/d]	234
Ks Soil normalized at 12.0 °C [m/s]	2.72E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 1:28:43 PM	862	-3.28	-1.265	-99999.000	21.110
10/16/2015 1:28:45 PM	16	-2.12	-1.264	-99999.000	21.110
10/16/2015 1:28:46 PM	124	-1.01	-1.266	-99999.000	21.110
10/16/2015 1:28:47 PM	138	0.00	5.052	5.052	21.110
10/16/2015 1:28:49 PM	275	2.14	4.939	4.974	21.110
10/16/2015 1:28:51 PM	584	4.45	4.824	4.892	21.110
10/16/2015 1:28:54 PM	735	7.60	4.711	4.781	21.110
10/16/2015 1:28:57 PM	886	10.75	4.605	4.672	21.110
10/16/2015 1:29:01 PM	84	13.95	4.502	4.564	21.110
10/16/2015 1:29:04 PM	220	17.08	4.400	4.460	21.110
10/16/2015 1:29:08 PM	229	21.09	4.263	4.330	21.110
10/16/2015 1:29:12 PM	238	25.10	4.154	4.203	21.120
10/16/2015 1:29:16 PM	294	29.16	4.035	4.078	21.120
10/16/2015 1:29:20 PM	319	33.18	3.907	3.957	21.110
10/16/2015 1:29:24 PM	329	37.19	3.806	3.839	21.110
10/16/2015 1:29:28 PM	338	41.20	3.684	3.725	21.110
10/16/2015 1:29:32 PM	331	45.19	3.577	3.613	21.120
10/16/2015 1:29:36 PM	356	49.22	3.471	3.504	21.120
10/16/2015 1:29:40 PM	365	53.23	3.370	3.397	21.120
10/16/2015 1:29:44 PM	421	57.28	3.260	3.292	21.120
10/16/2015 1:29:49 PM	320	62.18	3.142	3.169	21.120
10/16/2015 1:29:54 PM	203	67.06	3.029	3.050	21.120
10/16/2015 1:29:58 PM	243	71.10	2.928	2.954	21.120
10/16/2015 1:30:03 PM	173	76.03	2.820	2.840	21.120
10/16/2015 1:30:08 PM	40	80.90	2.715	2.731	21.120
10/16/2015 1:30:13 PM	796	86.66	2.590	2.606	21.120
10/16/2015 1:30:19 PM	521	92.38	2.476	2.487	21.120
10/16/2015 1:30:25 PM	278	98.14	2.359	2.371	21.120
10/16/2015 1:30:31 PM	65	103.93	2.246	2.258	21.110
10/16/2015 1:30:36 PM	759	109.62	2.143	2.151	21.110
10/16/2015 1:30:43 PM	358	116.22	2.032	2.032	21.120
10/16/2015 1:30:49 PM	130	121.99	1.931	1.932	21.120
10/16/2015 1:30:54 PM	887	127.75	1.819	1.836	21.120
10/16/2015 1:31:01 PM	548	134.41	1.719	1.728	21.120
10/16/2015 1:31:08 PM	147	141.01	1.610	1.626	21.120
10/16/2015 1:31:15 PM	635	148.50	1.507	1.515	21.120
10/16/2015 1:31:23 PM	60	155.92	1.403	1.410	21.120
10/16/2015 1:31:31 PM	344	164.21	1.299	1.299	21.120
10/16/2015 1:31:39 PM	659	172.52	1.196	-99999.000	21.120

