KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKC1_9-24-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 3:06:22 PM
Test duration	00:00:53

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4
Fitting Parameter b [s-1]	-4.75E-02
Fitting Parameter c [cm]	-.8
Fitting Parameter r2 [-]	0.9998
Ks Total [cm/d]	2750
Ks Total [m/s]	3.20E-04
Ks Soil [cm/d]	2330
Ks Soil [m/s]	2.71E-04
Ks Soil normalized at 12.0 °C [cm/d]	1850
Ks Soil normalized at 12.0 °C [m/s]	2.15E-04

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 3:06:22 PM	944	-3.51	0.186	-99999.000	20.810
10/16/2015 3:06:24 PM	426	-2.03	0.184	-99999.000	20.810
10/16/2015 3:06:25 PM	440	-1.01	2.870	-99999.000	20.810
10/16/2015 3:06:26 PM	454	0.00	4.803	4.803	20.810
10/16/2015 3:06:28 PM	779	2.32	4.339	4.384	20.810
10/16/2015 3:06:30 PM	183	3.73	4.136	4.153	20.810
10/16/2015 3:06:31 PM	571	5.12	3.885	3.939	20.810
10/16/2015 3:06:33 PM	22	6.57	3.710	3.730	20.810
10/16/2015 3:06:34 PM	457	8.00	3.497	3.537	20.810
10/16/2015 3:06:35 PM	955	9.50	3.301	3.349	20.810
10/16/2015 3:06:37 PM	484	11.03	3.120	3.170	20.810
10/16/2015 3:06:38 PM	903	12.45	2.994	3.016	20.810
10/16/2015 3:06:40 PM	292	13.84	2.836	2.874	20.810
10/16/2015 3:06:41 PM	742	15.29	2.688	2.736	20.810
10/16/2015 3:06:44 PM	67	17.61	2.516	2.534	20.810
10/16/2015 3:06:45 PM	455	19.00	2.388	2.423	20.810
10/16/2015 3:06:46 PM	906	20.45	2.275	2.315	20.810
10/16/2015 3:06:49 PM	199	22.75	2.128	2.159	20.810
10/16/2015 3:06:51 PM	477	25.02	2.008	2.019	20.810
10/16/2015 3:06:53 PM	754	27.30	1.864	1.894	20.810
10/16/2015 3:06:56 PM	937	30.48	1.719	1.741	20.810
10/16/2015 3:07:00 PM	88	33.63	1.595	1.610	20.810
10/16/2015 3:07:03 PM	239	36.79	1.491	1.497	20.810
10/16/2015 3:07:07 PM	311	40.86	1.385	1.375	20.810
10/16/2015 3:07:11 PM	320	44.87	1.275	1.275	20.810
10/16/2015 3:07:16 PM	218	49.76	1.175	-99999.000	20.810

