KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKC2_9-24-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 3:58:24 PM
Test duration	00:01:26

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6.2
Fitting Parameter b [s-1]	-1.22E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9949
Ks Total [cm/d]	705
Ks Total [m/s]	8.20E-05
Ks Soil [cm/d]	583
Ks Soil [m/s]	6.78E-05
Ks Soil normalized at 12.0 °C [cm/d]	463
Ks Soil normalized at 12.0 °C [m/s]	5.39E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 3:58:24 PM	447	-4.52	-5.042	-99999.000	20.720
10/16/2015 3:58:25 PM	727	-3.24	-5.065	-99999.000	20.720
10/16/2015 3:58:26 PM	850	-2.12	-5.043	-99999.000	20.720
10/16/2015 3:58:27 PM	911	-1.06	0.636	-99999.000	20.720
10/16/2015 3:58:28 PM	971	0.00	5.200	5.200	20.720
10/16/2015 3:58:31 PM	124	2.15	5.026	5.039	20.720
10/16/2015 3:58:33 PM	433	4.46	4.892	4.872	20.720
10/16/2015 3:58:35 PM	679	6.71	4.778	4.713	20.720
10/16/2015 3:58:37 PM	973	9.00	4.645	4.555	20.720
10/16/2015 3:58:40 PM	250	11.28	4.513	4.403	20.720
10/16/2015 3:58:42 PM	559	13.59	4.403	4.253	20.720
10/16/2015 3:58:44 PM	852	15.88	4.253	4.108	20.720
10/16/2015 3:58:47 PM	192	18.22	4.146	3.964	20.720
10/16/2015 3:58:49 PM	470	20.50	4.019	3.828	20.720
10/16/2015 3:58:51 PM	779	22.81	3.894	3.694	20.720
10/16/2015 3:58:54 PM	56	25.09	3.791	3.566	20.720
10/16/2015 3:58:56 PM	334	27.36	3.649	3.440	20.720
10/16/2015 3:58:58 PM	627	29.66	3.548	3.318	20.720
10/16/2015 3:59:00 PM	920	31.95	3.429	3.199	20.720
10/16/2015 3:59:03 PM	198	34.23	3.312	3.084	20.720
10/16/2015 3:59:06 PM	365	37.39	3.158	2.929	20.720
10/16/2015 3:59:09 PM	547	40.58	3.006	2.779	20.720
10/16/2015 3:59:12 PM	714	43.74	2.857	2.636	20.720
10/16/2015 3:59:15 PM	865	46.89	2.709	2.499	20.720
10/16/2015 3:59:19 PM	48	50.08	2.566	2.366	20.720
10/16/2015 3:59:22 PM	214	53.24	2.425	2.238	20.720
10/16/2015 3:59:25 PM	412	56.44	2.288	2.114	20.720
10/16/2015 3:59:28 PM	548	59.58	2.138	1.998	20.720
10/16/2015 3:59:31 PM	715	62.74	2.005	1.884	20.720
10/16/2015 3:59:34 PM	882	65.91	1.874	1.775	20.720
10/16/2015 3:59:38 PM	95	69.12	1.747	1.668	20.720
10/16/2015 3:59:41 PM	262	72.29	1.621	1.567	20.730
10/16/2015 3:59:44 PM	398	75.43	1.498	1.471	20.730
10/16/2015 3:59:47 PM	564	78.59	1.377	1.377	20.730
10/16/2015 3:59:50 PM	731	81.76	1.259	-99999.000	20.720

