KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKC1_9-24-15_008

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 2:37:44 PM
Test duration	00:01:00

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.62
Fitting Parameter b [s-1]	-3.41E-02
Fitting Parameter c [cm]	-.5
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	1970
Ks Total [m/s]	2.29E-04
Ks Soil [cm/d]	1660
Ks Soil [m/s]	1.93E-04
Ks Soil normalized at 12.0 °C [cm/d]	1310
Ks Soil normalized at 12.0 °C [m/s]	1.52E-04

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 2:37:44 PM	858	-3.18	0.369	-99999.000	20.840
10/16/2015 2:37:45 PM	919	-2.12	0.368	-99999.000	20.840
10/16/2015 2:37:47 PM	58	-0.98	1.378	-99999.000	20.840
10/16/2015 2:37:48 PM	41	0.00	5.115	5.115	20.840
10/16/2015 2:37:50 PM	178	2.14	4.714	4.791	20.840
10/16/2015 2:37:51 PM	597	3.56	4.545	4.588	20.840
10/16/2015 2:37:52 PM	986	4.94	4.333	4.399	20.840
10/16/2015 2:37:54 PM	421	6.38	4.136	4.213	20.840
10/16/2015 2:37:55 PM	841	7.80	3.995	4.037	20.840
10/16/2015 2:37:57 PM	323	9.28	3.816	3.863	20.840
10/16/2015 2:37:58 PM	742	10.70	3.646	3.704	20.840
10/16/2015 2:38:00 PM	193	12.15	3.489	3.549	20.840
10/16/2015 2:38:02 PM	439	14.40	3.304	3.324	20.840
10/16/2015 2:38:03 PM	890	15.85	3.162	3.188	20.840
10/16/2015 2:38:05 PM	325	17.28	3.026	3.060	20.840
10/16/2015 2:38:07 PM	603	19.56	2.865	2.868	20.840
10/16/2015 2:38:08 PM	991	20.95	2.742	2.759	20.840
10/16/2015 2:38:11 PM	300	23.26	2.596	2.588	20.840
10/16/2015 2:38:12 PM	751	24.71	2.486	2.487	20.840
10/16/2015 2:38:14 PM	186	26.15	2.382	2.392	20.840
10/16/2015 2:38:16 PM	495	28.45	2.237	2.249	20.840
10/16/2015 2:38:18 PM	804	30.76	2.087	2.116	20.840
10/16/2015 2:38:21 PM	81	33.04	1.983	1.996	20.840
10/16/2015 2:38:23 PM	375	35.33	1.868	1.883	20.840
10/16/2015 2:38:25 PM	699	37.66	1.763	1.778	20.840
10/16/2015 2:38:28 PM	881	40.84	1.637	1.646	20.840
10/16/2015 2:38:32 PM	48	44.01	1.523	1.529	20.840
10/16/2015 2:38:36 PM	11	47.97	1.397	1.399	20.840
10/16/2015 2:38:40 PM	20	51.98	1.284	1.284	20.840
10/16/2015 2:38:44 PM	871	56.83	1.159	-99999.000	20.840

