KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKD1_9-24-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 3:35:35 PM
Test duration	00:13:14

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.92
Fitting Parameter b [s-1]	-2.20E-03
Fitting Parameter c [cm]	-.4
Fitting Parameter r2 [-]	0.9999
Ks Total [cm/d]	127
Ks Total [m/s]	1.48E-05
Ks Soil [cm/d]	104
Ks Soil [m/s]	1.21E-05
Ks Soil normalized at 12.0 °C [cm/d]	83
Ks Soil normalized at 12.0 °C [m/s]	9.61E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 3:35:35 PM	592	-4.52	0.297	-99999.000	20.840
10/16/2015 3:35:36 PM	980	-3.14	0.297	-99999.000	20.840
10/16/2015 3:35:38 PM	25	-2.09	0.296	-99999.000	20.840
10/16/2015 3:35:39 PM	71	-1.05	0.305	-99999.000	20.840
10/16/2015 3:35:40 PM	116	0.00	5.323	5.323	20.840
10/16/2015 3:35:46 PM	543	6.43	5.207	5.254	20.840
10/16/2015 3:35:54 PM	0	13.88	5.094	5.175	20.840
10/16/2015 3:36:03 PM	235	23.12	4.992	5.079	20.840
10/16/2015 3:36:14 PM	46	33.93	4.881	4.969	20.850
10/16/2015 3:36:25 PM	824	45.71	4.769	4.852	20.840
10/16/2015 3:36:36 PM	744	56.63	4.664	4.747	20.840
10/16/2015 3:36:48 PM	522	68.41	4.554	4.636	20.830
10/16/2015 3:37:00 PM	253	80.14	4.452	4.528	20.830
10/16/2015 3:37:12 PM	47	91.93	4.347	4.422	20.830
10/16/2015 3:37:24 PM	854	104.74	4.241	4.311	20.830
10/16/2015 3:37:37 PM	537	117.42	4.136	4.203	20.840
10/16/2015 3:37:50 PM	236	130.12	4.034	4.099	20.830
10/16/2015 3:38:03 PM	745	143.63	3.930	3.990	20.830
10/16/2015 3:38:17 PM	224	157.11	3.828	3.886	20.830
10/16/2015 3:38:31 PM	576	171.46	3.721	3.777	20.830
10/16/2015 3:38:46 PM	801	186.69	3.613	3.666	20.830
10/16/2015 3:39:02 PM	916	202.80	3.505	3.553	20.830
10/16/2015 3:39:18 PM	142	218.03	3.404	3.449	20.830
10/16/2015 3:39:34 PM	272	234.16	3.304	3.343	20.830
10/16/2015 3:39:51 PM	276	251.16	3.201	3.235	20.830
10/16/2015 3:40:09 PM	76	268.96	3.097	3.126	20.830
10/16/2015 3:40:27 PM	718	287.60	2.991	3.017	20.830
10/16/2015 3:40:47 PM	218	307.10	2.890	2.907	20.830
10/16/2015 3:41:06 PM	687	326.57	2.787	2.802	20.830
10/16/2015 3:41:27 PM	14	346.90	2.686	2.697	20.830
10/16/2015 3:41:47 PM	450	367.33	2.586	2.596	20.830
10/16/2015 3:42:09 PM	586	389.47	2.485	2.492	20.820
10/16/2015 3:42:32 PM	627	412.51	2.383	2.388	20.820
10/16/2015 3:42:58 PM	289	438.17	2.278	2.279	20.830
10/16/2015 3:43:20 PM	410	460.29	2.178	2.190	20.820
10/16/2015 3:43:47 PM	757	487.64	2.076	2.086	20.820
10/16/2015 3:44:16 PM	976	516.86	1.976	1.981	20.820
10/16/2015 3:44:49 PM	393	549.28	1.874	1.872	20.820
10/16/2015 3:45:22 PM	746	582.63	1.773	1.768	20.820
10/16/2015 3:45:57 PM	908	617.79	1.670	1.666	20.820
10/16/2015 3:46:36 PM	456	656.34	1.569	1.564	20.830
10/16/2015 3:47:16 PM	579	696.46	1.468	1.465	20.830
10/16/2015 3:48:00 PM	181	740.06	1.368	1.368	20.830
10/16/2015 3:48:49 PM	696	789.58	1.267	-99999.000	20.830

