KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKD2_9-24-15_001

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 4:11:16 PM
Test duration	00:06:23

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.69
Fitting Parameter b [s-1]	-2.43E-03
Fitting Parameter c [cm]	.8
Fitting Parameter r2 [-]	0.9800
Ks Total [cm/d]	141
Ks Total [m/s]	1.63E-05
Ks Soil [cm/d]	115
Ks Soil [m/s]	1.34E-05
Ks Soil normalized at 12.0 °C [cm/d]	92
Ks Soil normalized at 12.0 °C [m/s]	1.07E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 4:11:16 PM	337	-3.56	-0.075	-99999.000	20.700
10/16/2015 4:11:17 PM	538	-2.36	-0.102	-99999.000	20.700
10/16/2015 4:11:18 PM	848	-1.05	-0.191	-99999.000	20.700
10/16/2015 4:11:19 PM	894	0.00	3.689	3.689	20.700
10/16/2015 4:12:42 PM	402	82.51	3.572	2.837	20.700
10/16/2015 4:12:49 PM	1	89.11	3.465	2.776	20.700
10/16/2015 4:12:55 PM	865	95.97	3.356	2.713	20.700
10/16/2015 4:13:03 PM	306	103.41	3.250	2.647	20.700
10/16/2015 4:13:10 PM	701	110.81	3.141	2.582	20.700
10/16/2015 4:13:18 PM	953	119.06	3.030	2.510	20.700
10/16/2015 4:13:26 PM	425	126.53	2.928	2.447	20.700
10/16/2015 4:13:34 PM	740	134.85	2.813	2.378	20.700
10/16/2015 4:13:43 PM	39	143.15	2.712	2.311	20.700
10/16/2015 4:13:51 PM	370	151.48	2.609	2.244	20.700
10/16/2015 4:13:59 PM	669	159.78	2.504	2.180	20.700
10/16/2015 4:14:08 PM	873	168.98	2.403	2.109	20.700
10/16/2015 4:14:17 PM	999	178.11	2.303	2.041	20.700
10/16/2015 4:14:26 PM	283	186.39	2.196	1.980	20.700
10/16/2015 4:14:36 PM	267	196.37	2.095	1.909	20.700
10/16/2015 4:14:47 PM	124	207.23	1.992	1.833	20.700
10/16/2015 4:14:58 PM	76	218.18	1.890	1.759	20.710
10/16/2015 4:15:09 PM	916	230.02	1.790	1.680	20.700
10/16/2015 4:15:22 PM	583	242.69	1.681	1.599	20.700
10/16/2015 4:15:35 PM	999	256.11	1.579	1.516	20.700
10/16/2015 4:15:50 PM	258	270.36	1.472	1.430	20.700
10/16/2015 4:16:05 PM	405	285.51	1.372	1.342	20.700
10/16/2015 4:16:21 PM	380	301.49	1.269	1.253	20.700
10/16/2015 4:16:38 PM	243	318.35	1.169	1.162	20.700
10/16/2015 4:16:56 PM	870	336.98	1.068	1.067	20.700
10/16/2015 4:17:17 PM	181	357.29	0.967	0.967	20.700
10/16/2015 4:17:40 PM	82	380.19	0.864	-99999.000	20.700

