KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKD4_9-24-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/16/2015 5:13:27 PM
Test duration	00:00:50

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	6.16
Fitting Parameter b [s-1]	-2.05E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9940
Ks Total [cm/d]	1190
Ks Total [m/s]	1.38E-04
Ks Soil [cm/d]	987
Ks Soil [m/s]	1.15E-04
Ks Soil normalized at 12.0 °C [cm/d]	784
Ks Soil normalized at 12.0 °C [m/s]	9.12E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/16/2015 5:13:27 PM	317	-2.28	-5.570	-99999.000	20.690
10/16/2015 5:13:28 PM	331	-1.26	-1.272	-99999.000	20.690
10/16/2015 5:13:29 PM	595	0.00	5.161	5.161	20.690
10/16/2015 5:13:31 PM	826	2.23	4.905	4.885	20.700
10/16/2015 5:13:33 PM	245	3.65	4.793	4.717	20.700
10/16/2015 5:13:34 PM	665	5.07	4.646	4.552	20.700
10/16/2015 5:13:36 PM	147	6.55	4.500	4.386	20.700
10/16/2015 5:13:37 PM	551	7.96	4.356	4.233	20.700
10/16/2015 5:13:38 PM	971	9.38	4.249	4.083	20.700
10/16/2015 5:13:40 PM	390	10.80	4.108	3.937	20.700
10/16/2015 5:13:41 PM	810	12.22	3.969	3.795	20.700
10/16/2015 5:13:43 PM	276	13.68	3.865	3.653	20.700
10/16/2015 5:13:44 PM	680	15.09	3.763	3.521	20.700
10/16/2015 5:13:46 PM	100	16.50	3.628	3.391	20.700
10/16/2015 5:13:47 PM	519	17.92	3.495	3.265	20.700
10/16/2015 5:13:48 PM	986	19.39	3.363	3.139	20.700
10/16/2015 5:13:51 PM	232	21.64	3.201	2.953	20.700
10/16/2015 5:13:52 PM	683	23.09	3.073	2.837	20.700
10/16/2015 5:13:54 PM	961	25.37	2.916	2.662	20.700
10/16/2015 5:13:56 PM	380	26.79	2.791	2.557	20.700
10/16/2015 5:13:57 PM	815	28.22	2.669	2.453	20.700
10/16/2015 5:14:00 PM	93	30.50	2.519	2.296	20.700
10/16/2015 5:14:01 PM	513	31.92	2.399	2.201	20.700
10/16/2015 5:14:02 PM	948	33.35	2.283	2.108	20.700
10/16/2015 5:14:04 PM	399	34.80	2.182	2.017	20.700
10/16/2015 5:14:05 PM	818	36.22	2.069	1.931	20.700
10/16/2015 5:14:07 PM	269	37.67	1.957	1.845	20.700
10/16/2015 5:14:08 PM	689	39.09	1.846	1.763	20.700
10/16/2015 5:14:11 PM	29	41.43	1.711	1.633	20.710
10/16/2015 5:14:12 PM	479	42.88	1.604	1.556	20.710
10/16/2015 5:14:13 PM	899	44.30	1.498	1.483	20.710
10/16/2015 5:14:16 PM	208	46.61	1.368	1.368	20.710
10/16/2015 5:14:17 PM	627	48.03	1.264	-99999.000	20.710

