KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKE2_9-24-15_004

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/19/2015 1:47:23 PM
Test duration	00:01:32

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.95
Fitting Parameter b [s-1]	-1.14E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9960
Ks Total [cm/d]	661
Ks Total [m/s]	7.69E-05
Ks Soil [cm/d]	547
Ks Soil [m/s]	6.36E-05
Ks Soil normalized at 12.0 °C [cm/d]	440
Ks Soil normalized at 12.0 °C [m/s]	5.12E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/19/2015 1:47:23 PM	422	-4.34	-4.619	-99999.000	20.130
10/19/2015 1:47:24 PM	436	-3.32	-4.631	-99999.000	20.130
10/19/2015 1:47:25 PM	544	-2.22	-4.636	-99999.000	20.130
10/19/2015 1:47:26 PM	605	-1.15	5.088	-99999.000	20.130
10/19/2015 1:47:27 PM	759	0.00	4.950	4.950	20.130
10/19/2015 1:47:29 PM	881	2.12	4.833	4.807	20.130
10/19/2015 1:47:32 PM	158	4.40	4.725	4.658	20.140
10/19/2015 1:47:34 PM	436	6.68	4.599	4.512	20.140
10/19/2015 1:47:36 PM	43	8.28	4.493	4.412	20.140
10/19/2015 1:47:38 PM	320	10.56	4.390	4.273	20.140
10/19/2015 1:47:40 PM	660	12.90	4.266	4.134	20.140
10/19/2015 1:47:42 PM	969	15.21	4.145	4.000	20.140
10/19/2015 1:47:46 PM	105	18.35	3.986	3.824	20.140
10/19/2015 1:47:49 PM	240	21.48	3.830	3.654	20.140
10/19/2015 1:47:52 PM	407	24.65	3.678	3.488	20.140
10/19/2015 1:47:55 PM	558	27.80	3.529	3.329	20.140
10/19/2015 1:47:58 PM	694	30.93	3.382	3.177	20.140
10/19/2015 1:48:01 PM	861	34.10	3.239	3.028	20.150
10/19/2015 1:48:05 PM	27	37.27	3.097	2.885	20.150
10/19/2015 1:48:08 PM	225	40.47	2.958	2.745	20.150
10/19/2015 1:48:11 PM	361	43.60	2.822	2.613	20.150
10/19/2015 1:48:14 PM	528	46.77	2.687	2.485	20.150
10/19/2015 1:48:17 PM	695	49.94	2.555	2.361	20.150
10/19/2015 1:48:20 PM	830	53.07	2.425	2.242	20.150
10/19/2015 1:48:23 PM	935	56.18	2.297	2.129	20.150
10/19/2015 1:48:27 PM	70	59.31	2.172	2.019	20.150
10/19/2015 1:48:30 PM	268	62.51	2.052	1.910	20.160
10/19/2015 1:48:33 PM	404	65.64	1.937	1.808	20.160
10/19/2015 1:48:36 PM	571	68.81	1.819	1.708	20.160
10/19/2015 1:48:39 PM	738	71.98	1.703	1.612	20.160
10/19/2015 1:48:42 PM	873	75.11	1.589	1.519	20.160
10/19/2015 1:48:46 PM	40	78.28	1.477	1.430	20.160
10/19/2015 1:48:49 PM	207	81.45	1.367	1.343	20.160
10/19/2015 1:48:52 PM	374	84.62	1.260	1.260	20.160
10/19/2015 1:48:55 PM	509	87.75	1.154	-99999.000	20.160

