KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKE6_9-24-15_003

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/19/2015 7:34:16 PM
Test duration	00:10:34

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	4.31
Fitting Parameter b [s-1]	-3.48E-03
Fitting Parameter c [cm]	-.7
Fitting Parameter r2 [-]	0.9913
Ks Total [cm/d]	201
Ks Total [m/s]	2.34E-05
Ks Soil [cm/d]	165
Ks Soil [m/s]	1.92E-05
Ks Soil normalized at 12.0 °C [cm/d]	129
Ks Soil normalized at 12.0 °C [m/s]	1.50E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/19/2015 7:34:16 PM	252	-9.56	-3.957	-99999.000	21.480
10/19/2015 7:34:17 PM	360	-8.45	-3.949	-99999.000	21.480
10/19/2015 7:34:18 PM	421	-7.39	-3.941	-99999.000	21.480
10/19/2015 7:34:19 PM	513	-6.30	-3.930	-99999.000	21.490
10/19/2015 7:34:20 PM	620	-5.19	-3.923	-99999.000	21.490
10/19/2015 7:34:21 PM	666	-4.15	-3.913	-99999.000	21.490
10/19/2015 7:34:22 PM	711	-3.10	-3.902	-99999.000	21.490
10/19/2015 7:34:23 PM	725	-2.09	-3.893	-99999.000	21.490
10/19/2015 7:34:24 PM	770	-1.04	-3.882	-99999.000	21.490
10/19/2015 7:34:25 PM	815	0.00	5.112	5.112	21.490
10/19/2015 7:34:28 PM	108	2.29	4.959	5.078	21.490
10/19/2015 7:34:30 PM	355	4.54	4.806	5.044	21.490
10/19/2015 7:34:32 PM	632	6.82	4.684	5.011	21.490
10/19/2015 7:34:38 PM	326	12.51	4.581	4.928	21.490
10/19/2015 7:34:44 PM	20	18.21	4.474	4.847	21.500
10/19/2015 7:34:50 PM	619	24.80	4.363	4.755	21.500
10/19/2015 7:34:56 PM	344	30.53	4.262	4.677	21.500
10/19/2015 7:35:02 PM	881	37.07	4.157	4.590	21.510
10/19/2015 7:35:09 PM	480	43.67	4.055	4.504	21.520
10/19/2015 7:35:16 PM	47	50.23	3.949	4.420	21.520
10/19/2015 7:35:23 PM	488	57.67	3.839	4.328	21.520
10/19/2015 7:35:30 PM	945	65.13	3.732	4.237	21.510
10/19/2015 7:35:39 PM	229	73.41	3.619	4.140	21.510
10/19/2015 7:35:47 PM	544	81.73	3.501	4.044	21.510
10/19/2015 7:36:04 PM	470	98.66	3.392	3.859	21.520
10/19/2015 7:36:18 PM	822	113.01	3.289	3.710	21.500
10/19/2015 7:36:31 PM	520	125.70	3.189	3.584	21.500
10/19/2015 7:36:45 PM	888	140.07	3.085	3.448	21.500
10/19/2015 7:37:03 PM	609	157.79	2.982	3.289	21.520
10/19/2015 7:37:23 PM	94	177.28	2.880	3.126	21.510
10/19/2015 7:37:45 PM	199	199.38	2.777	2.954	21.520
10/19/2015 7:38:07 PM	242	221.43	2.673	2.795	21.520
10/19/2015 7:38:30 PM	205	244.39	2.569	2.642	21.530
10/19/2015 7:38:53 PM	122	267.31	2.468	2.500	21.530
10/19/2015 7:39:17 PM	707	291.89	2.366	2.361	21.530
10/19/2015 7:39:38 PM	955	313.14	2.265	2.250	21.530
10/19/2015 7:40:04 PM	601	338.79	2.165	2.126	21.520
10/19/2015 7:40:31 PM	807	365.99	2.062	2.006	21.530
10/19/2015 7:40:59 PM	981	394.17	1.960	1.893	21.540
10/19/2015 7:41:28 PM	950	423.13	1.860	1.788	21.540
10/19/2015 7:41:58 PM	700	452.89	1.760	1.691	21.550
10/19/2015 7:42:31 PM	163	485.35	1.658	1.596	21.540
10/19/2015 7:43:03 PM	533	517.72	1.558	1.511	21.560
10/19/2015 7:43:37 PM	604	551.79	1.458	1.432	21.550
10/19/2015 7:44:13 PM	687	587.87	1.357	1.357	21.550
10/19/2015 7:44:51 PM	205	625.39	1.255	-99999.000	21.550

