KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKE6_9-24-15_004

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/19/2015 7:47:22 PM
Test duration	00:18:04

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.84
Fitting Parameter b [s-1]	-8.69E-04
Fitting Parameter c [cm]	.6
Fitting Parameter r2 [-]	1.0000
Ks Total [cm/d]	50
Ks Total [m/s]	5.84E-06
Ks Soil [cm/d]	41
Ks Soil [m/s]	4.79E-06
Ks Soil normalized at 12.0 °C [cm/d]	32
Ks Soil normalized at 12.0 °C [m/s]	3.73E-06

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/19/2015 7:47:22 PM	619	-4.06	-1.679	-99999.000	21.570
10/19/2015 7:47:24 PM	475	-2.20	-1.680	-99999.000	21.570
10/19/2015 7:47:25 PM	458	-1.22	5.246	-99999.000	21.570
10/19/2015 7:47:26 PM	675	0.00	5.236	5.236	21.570
10/19/2015 7:47:45 PM	239	18.56	5.131	5.143	21.570
10/19/2015 7:48:04 PM	910	38.23	5.027	5.045	21.560
10/19/2015 7:48:26 PM	95	59.42	4.925	4.942	21.570
10/19/2015 7:48:48 PM	107	81.43	4.821	4.837	21.570
10/19/2015 7:49:10 PM	103	103.43	4.720	4.734	21.570
10/19/2015 7:49:32 PM	270	125.59	4.616	4.632	21.570
10/19/2015 7:49:55 PM	140	148.47	4.514	4.529	21.580
10/19/2015 7:50:18 PM	72	171.40	4.412	4.428	21.580
10/19/2015 7:50:40 PM	973	194.30	4.312	4.329	21.600
10/19/2015 7:51:04 PM	747	218.07	4.211	4.228	21.590
10/19/2015 7:51:29 PM	333	242.66	4.110	4.126	21.580
10/19/2015 7:51:53 PM	981	267.31	4.009	4.026	21.590
10/19/2015 7:52:19 PM	440	292.77	3.908	3.924	21.590
10/19/2015 7:52:45 PM	804	319.13	3.807	3.822	21.580
10/19/2015 7:53:13 PM	42	346.37	3.705	3.718	21.580
10/19/2015 7:53:41 PM	106	374.43	3.604	3.614	21.580
10/19/2015 7:54:08 PM	328	401.65	3.504	3.516	21.580
10/19/2015 7:54:37 PM	235	430.56	3.403	3.414	21.580
10/19/2015 7:55:07 PM	0	460.33	3.302	3.311	21.580
10/19/2015 7:55:37 PM	639	490.96	3.201	3.208	21.580
10/19/2015 7:56:09 PM	104	522.43	3.100	3.105	21.580
10/19/2015 7:56:40 PM	616	553.94	2.999	3.005	21.580
10/19/2015 7:57:14 PM	702	588.03	2.897	2.900	21.580
10/19/2015 7:57:49 PM	677	623.00	2.794	2.795	21.590
10/19/2015 7:58:25 PM	542	658.87	2.693	2.691	21.580
10/19/2015 7:59:02 PM	249	695.57	2.591	2.588	21.580
10/19/2015 7:59:39 PM	782	733.11	2.489	2.485	21.580
10/19/2015 8:00:19 PM	157	772.48	2.388	2.381	21.580
10/19/2015 8:00:54 PM	974	808.30	2.285	2.290	21.580
10/19/2015 8:01:36 PM	720	850.05	2.183	2.187	21.580
10/19/2015 8:02:20 PM	244	893.57	2.081	2.083	21.580
10/19/2015 8:03:04 PM	657	937.98	1.980	1.982	21.580
10/19/2015 8:03:50 PM	849	984.17	1.880	1.880	21.590
10/19/2015 8:04:37 PM	805	1031.13	1.780	1.781	21.590
10/19/2015 8:05:27 PM	616	1080.94	1.680	1.680	21.590

