KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKF1_9-24-15_004

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/19/2015 1:32:34 PM
Test duration	00:01:11

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	3.79
Fitting Parameter b [s-1]	-3.55E-02
Fitting Parameter c [cm]	-.8
Fitting Parameter r2 [-]	0.9967
Ks Total [cm/d]	2050
Ks Total [m/s]	2.38E-04
Ks Soil [cm/d]	1730
Ks Soil [m/s]	2.01E-04
Ks Soil normalized at 12.0 °C [cm/d]	1400
Ks Soil normalized at 12.0 °C [m/s]	1.63E-04

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/19/2015 1:32:34 PM	470	-3.37	1.873	-99999.000	19.930
10/19/2015 1:32:35 PM	749	-2.09	1.429	-99999.000	19.930
10/19/2015 1:32:36 PM	826	-1.01	1.382	-99999.000	19.930
10/19/2015 1:32:37 PM	840	0.00	4.593	4.593	19.930
10/19/2015 1:32:40 PM	164	2.32	4.053	4.293	19.930
10/19/2015 1:32:41 PM	568	3.73	3.807	4.123	19.940
10/19/2015 1:32:43 PM	19	5.18	3.556	3.956	19.940
10/19/2015 1:32:44 PM	470	6.63	3.410	3.798	19.940
10/19/2015 1:32:46 PM	357	8.52	3.269	3.603	19.940
10/19/2015 1:32:47 PM	730	9.89	3.131	3.470	19.940
10/19/2015 1:32:49 PM	399	11.56	3.010	3.316	19.940
10/19/2015 1:32:51 PM	646	13.81	2.863	3.123	19.920
10/19/2015 1:32:53 PM	892	16.05	2.755	2.945	19.920
10/19/2015 1:32:56 PM	139	18.30	2.624	2.781	19.920
10/19/2015 1:32:58 PM	369	20.53	2.496	2.630	19.920
10/19/2015 1:33:00 PM	647	22.81	2.372	2.488	19.930
10/19/2015 1:33:02 PM	925	25.08	2.270	2.357	19.930
10/19/2015 1:33:06 PM	29	28.19	2.126	2.194	19.930
10/19/2015 1:33:09 PM	102	31.26	2.002	2.050	19.930
10/19/2015 1:33:12 PM	238	34.40	1.875	1.919	19.940
10/19/2015 1:33:16 PM	263	38.42	1.752	1.770	19.940
10/19/2015 1:33:20 PM	256	42.42	1.651	1.642	19.960
10/19/2015 1:33:24 PM	250	46.41	1.540	1.530	19.960
10/19/2015 1:33:28 PM	368	50.53	1.434	1.431	19.960
10/19/2015 1:33:34 PM	94	56.25	1.322	1.315	19.970
10/19/2015 1:33:39 PM	834	61.99	1.220	1.220	19.970
10/19/2015 1:33:46 PM	418	68.58	1.110	-99999.000	19.980

