KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	NKF4_9-24-15_002

MEASUREMENT
Mode	FallingHead
Sample rate [s]	Auto
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	10/19/2015 5:45:52 PM
Test duration	00:00:30

RESULT
Use auto offset adjustment	True
Max offset adjustment [cm]	1
Fitting Parameter a [cm]	5.89
Fitting Parameter b [s-1]	-3.64E-02
Fitting Parameter c [cm]	1
Fitting Parameter r2 [-]	0.9913
Ks Total [cm/d]	2100
Ks Total [m/s]	2.44E-04
Ks Soil [cm/d]	1770
Ks Soil [m/s]	2.06E-04
Ks Soil normalized at 12.0 °C [cm/d]	1390
Ks Soil normalized at 12.0 °C [m/s]	1.62E-04

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Fitting [cm]	Temperature [°C]
10/19/2015 5:45:52 PM	211	-4.21	-6.230	-99999.000	21.310
10/19/2015 5:45:53 PM	256	-3.17	-6.231	-99999.000	21.310
10/19/2015 5:45:54 PM	317	-2.11	-6.231	-99999.000	21.310
10/19/2015 5:45:55 PM	347	-1.08	-6.231	-99999.000	21.310
10/19/2015 5:45:56 PM	423	0.00	4.888	4.888	21.310
10/19/2015 5:45:58 PM	529	2.11	4.572	4.454	21.310
10/19/2015 5:45:59 PM	949	3.53	4.383	4.180	21.310
10/19/2015 5:46:01 PM	368	4.94	4.136	3.919	21.310
10/19/2015 5:46:02 PM	772	6.35	3.892	3.674	21.310
10/19/2015 5:46:04 PM	192	7.77	3.653	3.439	21.310
10/19/2015 5:46:05 PM	611	9.19	3.536	3.216	21.310
10/19/2015 5:46:07 PM	0	10.58	3.304	3.008	21.310
10/19/2015 5:46:08 PM	451	12.03	3.076	2.802	21.310
10/19/2015 5:46:09 PM	870	13.45	2.852	2.611	21.310
10/19/2015 5:46:11 PM	290	14.87	2.687	2.429	21.320
10/19/2015 5:46:12 PM	709	16.29	2.471	2.257	21.320
10/19/2015 5:46:14 PM	129	17.71	2.259	2.093	21.320
10/19/2015 5:46:15 PM	549	19.13	2.090	1.938	21.320
10/19/2015 5:46:16 PM	968	20.55	1.937	1.790	21.320
10/19/2015 5:46:18 PM	357	21.93	1.737	1.652	21.320
10/19/2015 5:46:19 PM	776	23.35	1.541	1.519	21.320
10/19/2015 5:46:21 PM	165	24.74	1.395	1.395	21.330
10/19/2015 5:46:22 PM	615	26.19	1.206	-99999.000	21.330

