KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	Schreiber1_000

MEASUREMENT
Mode	ConstantHead
Sample rate [s]	1
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
H_end_rel [-]	0.25	Relative hydraulic head (with respect to initial pressure head) to stop measurement	
dH_min [cm]	0.1	Minimum hydraulic head difference for two successive readings	
dH_ini [cm]	1	Required hydraulic head increase between two readings to trigger automatic start of measurement campaign	
GEOMETRY PARAMETERS
A_bur1 [cm²]	4.59	Standard burette cross-sectional area
A_bur2 [cm²]	0.089	Burette extension internal cross-sectional area
A_cap [cm²]	0.194	Capillary total cross-sectional area
A_sample  [cm²]	41.85	Sample cross-sectional area	
L_bur [cm]	22.5	Standard burette length	
L_sample [cm]	5	Height of soil sample	
L_plate_Bottom [cm]	0.8	Bottom porous plate height	
L_plate_Top [cm]	0.3	Upper porous plate height	
EVALUATION PARAMETERS
T_ref [°C]	12	Reference temperature for K calculations
K_plate [cm/d]	14000	Porous plate conductivity	
Use Auto-Offset	True	Use auto offset correction for measured hydraulic head
Max Auto-Offset [cm]	1	Max. value for auto offset correction
Trigger Auto-Offset [cm]	1	Hydraulic head change after auto offset correction becomes active
Start of measurement	3/29/2016 10:32:22 AM
Test duration	00:11:01

RESULT
Water level change rate [cm/d]	1291
R2 [-]	0.9999
Mean flux density [cm/d]	136
Mean pressure head [cm]	4.417
Total system length [cm]	6.1
Mean pressure head gradient  [-]	0.7241

Ks Total [cm/d]	187
Ks Total [m/s]	2.18E-05
Ks Soil [cm/d]	154
Ks Soil [m/s]	1.79E-05
Ks Soil normalized at 12.0 °C [cm/d] [cm/d]	121
Ks Soil normalized at 12.0 °C [cm/d] [m/s]	1.41E-05

DATA
Date/Time	Runtime [s]	Pressure Head [cm]	Cumulative Discharge Q [cm]
3/29/2016 10:34:29 AM	0.00	18.000	0.000
3/29/2016 10:38:53 AM	263.42	14.000	0.420
3/29/2016 10:43:25 AM	535.27	10.000	0.840
Date/Time	Runtime [s]	Pressure Head [cm]Temperature [°C]
3/29/2016 10:32:22 AM	-127.03	1.018	20.990
3/29/2016 10:32:25 AM	-124.65	0.793	20.990
3/29/2016 10:32:26 AM	-123.66	0.726	20.990
3/29/2016 10:32:27 AM	-122.65	2.994	20.990
3/29/2016 10:32:29 AM	-120.81	4.365	20.990
3/29/2016 10:32:30 AM	-119.14	4.373	20.990
3/29/2016 10:32:32 AM	-117.47	4.449	20.990
3/29/2016 10:32:34 AM	-115.80	4.469	20.990
3/29/2016 10:32:35 AM	-114.12	4.417	20.990
3/29/2016 10:32:36 AM	-113.13	4.385	20.990
3/29/2016 10:32:37 AM	-112.15	4.446	20.990
3/29/2016 10:32:38 AM	-111.13	4.446	20.990
3/29/2016 10:32:39 AM	-110.15	4.299	20.990
3/29/2016 10:32:40 AM	-109.17	4.490	21.000
3/29/2016 10:32:42 AM	-107.50	4.458	21.000
3/29/2016 10:32:43 AM	-106.52	4.315	21.000
3/29/2016 10:32:44 AM	-105.54	4.415	21.000
3/29/2016 10:32:45 AM	-104.55	4.391	21.000
3/29/2016 10:32:46 AM	-103.57	4.360	21.000
3/29/2016 10:32:47 AM	-102.57	4.418	21.000
3/29/2016 10:32:48 AM	-101.56	4.321	21.000
3/29/2016 10:32:49 AM	-100.53	4.559	21.000
3/29/2016 10:32:51 AM	-98.73	4.459	21.000
3/29/2016 10:32:52 AM	-97.75	4.359	21.000
3/29/2016 10:32:53 AM	-96.77	4.470	21.000
3/29/2016 10:32:54 AM	-95.79	4.344	21.000
3/29/2016 10:32:55 AM	-94.80	4.512	21.000
3/29/2016 10:32:56 AM	-93.69	4.375	21.000
3/29/2016 10:32:57 AM	-92.68	4.562	21.000
3/29/2016 10:32:58 AM	-90.98	4.455	21.000
3/29/2016 10:32:59 AM	-90.00	4.292	21.000
3/29/2016 10:33:00 AM	-88.98	4.499	21.000
3/29/2016 10:33:01 AM	-87.94	4.296	21.000
3/29/2016 10:33:02 AM	-86.92	4.473	21.000
3/29/2016 10:33:03 AM	-85.89	4.412	21.000
3/29/2016 10:33:04 AM	-84.86	4.461	21.000
3/29/2016 10:33:06 AM	-83.80	4.425	21.000
3/29/2016 10:33:07 AM	-82.80	4.319	21.000
3/29/2016 10:33:08 AM	-81.82	4.358	21.000
3/29/2016 10:33:09 AM	-80.81	4.450	21.000
3/29/2016 10:33:10 AM	-79.83	4.359	21.000
3/29/2016 10:33:11 AM	-78.81	4.451	21.010
3/29/2016 10:33:12 AM	-77.80	4.433	21.010
3/29/2016 10:33:13 AM	-76.80	4.454	21.010
3/29/2016 10:33:14 AM	-75.74	4.439	21.010
3/29/2016 10:33:15 AM	-74.73	4.306	21.010
3/29/2016 10:33:16 AM	-73.66	4.452	21.010
3/29/2016 10:33:17 AM	-72.68	4.294	21.010
3/29/2016 10:33:18 AM	-71.67	4.505	21.010
3/29/2016 10:33:19 AM	-70.67	4.335	21.010
3/29/2016 10:33:20 AM	-69.58	4.375	21.010
3/29/2016 10:33:21 AM	-68.58	4.456	21.020
3/29/2016 10:33:22 AM	-67.56	4.364	21.020
3/29/2016 10:33:23 AM	-66.58	4.447	21.020
3/29/2016 10:33:24 AM	-65.60	4.369	21.020
3/29/2016 10:33:25 AM	-64.54	4.359	21.020
3/29/2016 10:33:26 AM	-63.56	4.457	21.020
3/29/2016 10:33:27 AM	-62.53	4.378	21.020
3/29/2016 10:33:28 AM	-61.28	4.402	21.020
3/29/2016 10:33:29 AM	-60.23	4.311	21.020
3/29/2016 10:33:30 AM	-59.25	4.414	21.030
3/29/2016 10:33:31 AM	-58.27	4.302	21.030
3/29/2016 10:33:32 AM	-57.25	4.511	21.030
3/29/2016 10:33:33 AM	-56.24	4.397	21.030
3/29/2016 10:33:34 AM	-55.19	4.344	21.030
3/29/2016 10:33:35 AM	-54.19	4.455	21.030
3/29/2016 10:33:36 AM	-53.21	4.330	21.030
3/29/2016 10:33:37 AM	-52.21	4.417	21.030
3/29/2016 10:33:38 AM	-51.22	4.417	21.030
3/29/2016 10:33:39 AM	-50.08	4.315	21.030
3/29/2016 10:33:40 AM	-49.06	4.436	21.030
3/29/2016 10:33:41 AM	-48.06	4.367	21.030
3/29/2016 10:33:42 AM	-46.88	4.370	21.030
3/29/2016 10:33:43 AM	-45.90	4.561	21.030
3/29/2016 10:33:44 AM	-44.90	4.302	21.030
3/29/2016 10:33:45 AM	-43.87	4.433	21.030
