Sample.ID,Size_cm,Structure,Texture,Plant.Influence,Time.day,Cum.inf.cm,TMX_PPB,Event,V.Vo,Vo,Leach.Vol.mL,Co.PPB,cum.inf.mL,dt,Inf.mL
KF-60 cm-LS-Ctr-1,60,S,Clay,No Plant,3,0.9,0.086278355,1,0.02,6800,136,290,300,3,300
KF-60 cm-LS-Ctr-2,60,S,Clay,No Plant,3,0.9,0.080540723,1,0.012632353,6800,85.9,290,300,3,300
KF-60 cm-LS-Ctr-3,60,S,Clay,No Plant,3,0.9,0.083649347,1,0.030735294,6800,209,290,300,3,300
KF-60 cm-LS-Ctr-5,60,S,Clay,No Plant,3,0.9,0.083969091,1,0.031588235,6800,214.8,290,300,3,300
KF-60 cm-LS-Exp-2,60,S,Clay,Plant,3,0.9,0.079901235,1,0.026602941,6800,180.9,290,300,3,300
KF-60 cm-LS-Exp-3,60,S,Clay,Plant,3,0.9,0.085514522,1,0.034529412,6800,234.8,290,300,3,300
KF-60 cm-LS-Exp-4,60,S,Clay,Plant,3,0.9,0.070468781,1,0.023529412,6800,160,290,300,3,300
KF-60 cm-LS-Exp-5,60,S,Clay,Plant,3,0.9,0.075762323,1,0.043602941,6800,296.5,290,300,3,300
KF-20 cm-LS-Ctr-1,20,S,Clay,No Plant,3,0.9,0.081162448,1,0.000190805,2900,166,290,300,3,300
KF-20 cm-LS-Ctr-2,20,S,Clay,No Plant,3,0.9,0.084342126,1,0.000233448,2900,203.1,290,300,3,300
KF-20 cm-LS-Ctr-3,20,S,Clay,No Plant,3,0.9,0.07753868,1,0.000212644,2900,185,290,300,3,300
KF-20 cm-LS-Ctr-4,20,S,Clay,No Plant,3,0.9,0.078497913,1,0.000192644,2900,167.6,290,300,3,300
KF-20 cm-LS-Ctr-5,20,S,Clay,No Plant,3,0.9,0.075442579,1,0.000438391,2900,381.4,290,300,3,300
KF-20 cm-LS-Exp-1,20,S,Clay,Plant,3,0.9,0.073186606,1,0.000141954,2900,123.5,290,300,3,300
KF-20 cm-LS-Exp-2,20,S,Clay,Plant,3,0.9,0.095586464,1,0.000189195,2900,164.6,290,300,3,300
KF-20 cm-LS-Exp-3,20,S,Clay,Plant,3,0.9,0.081375611,1,0.000352529,2900,306.7,290,300,3,300
KF-20 cm-LS-Exp-4,20,S,Clay,Plant,3,0.9,0.079261746,1,0.000270575,2900,235.4,290,300,3,300
KF-20 cm-LS-Exp-5,20,S,Clay,Plant,3,0.9,0.077023537,1,0.00027,2900,234.9,290,300,3,300
NK-60 cm-LS-Ctr-2,60,NA,Sand,No Plant,3,0.9,0.662244249,1,0.000265625,6400,1.7,290,300,3,300
NK-60 cm-LS-Ctr-3,60,NA,Sand,No Plant,3,0.9,0,1,0,6400,0,290,300,3,300
NK-60 cm-LS-Ctr-4,60,NA,Sand,No Plant,3,0.9,0.519212008,1,0.000203125,6400,1.3,290,300,3,300
NK-60 cm-LS-Ctr-5,60,NA,Sand,No Plant,3,0.9,0.076526157,1,0.017640625,6400,112.9,290,300,3,300
