Sample.ID,Section,Texture,Stage,Combo,TMX.ppb,TMX.ng,dry.soil.g
nk-v1-1,rhiz,Sand,V1,Sandy-V1,1732.729533,5683.35287,
nk-v1-2,rhiz,Sand,V1,Sandy-V1,1532.110157,3477.890057,
nk-v1-3,rhiz,Sand,V1,Sandy-V1,1697.384428,3717.271898,
nk-v1-4,rhiz,Sand,V1,Sandy-V1,2992.392986,6463.56885,
nk-v3-1 ,rhiz,Sand,V3,Sandy-V3,608.4603294,2458.179731,
nk-v3-2 ,rhiz,Sand,V3,Sandy-V3,771.3070868,4782.103938,
nk-v3-3 ,rhiz,Sand,V3,Sandy-V3,461.843597,2443.152628,
nk-v3-4 ,rhiz,Sand,V3,Sandy-V3,1325.73338,12103.94576,
nk-v5-2,rhiz,Sand,V5,Sandy-V5,50.56434394,4550.790954,
nk-v5-3,rhiz,Sand,V5,Sandy-V5,31.72887258,1341.496733,
nk-v5-4,rhiz,Sand,V5,Sandy-V5,44.87049025,2083.336862,
nk-v5-5,rhiz,Sand,V5,Sandy-V5,66.73082137,13857.98967,
nk-v5-ctr-1,rhiz,Sand,V5_Ctr,Sandy-V5-Ctr,146.3962775,1152.500144,7.872468917
nk-v5-ctr-2,rhiz,Sand,V5_Ctr,Sandy-V5-Ctr,164.9780671,4346.181129,26.34399351
nk-v5-ctr-3,rhiz,Sand,V5_Ctr,Sandy-V5-Ctr,211.3735582,2761.761712,13.06578616
nk-v5-ctr-4,rhiz,Sand,V5_Ctr,Sandy-V5-Ctr,213.3309158,10726.27844,50.28
nk-v5-ctr-5,rhiz,Sand,V5_Ctr,Sandy-V5-Ctr,107.8127403,3686.562054,34.19412255
kf-v1-1,rhiz,Clay,V1,Clay-V1,1682.577867,5552.506961,
kf-v1-2,rhiz,Clay,V1,Clay-V1,550.0983291,1974.853002,
kf-v1-3,rhiz,Clay,V1,Clay-V1,871.6485486,3599.908506,
kf-v1-4,rhiz,Clay,V1,Clay-V1,2357.01992,6033.970995,
kf-v3-2 ,rhiz,Clay,V3,Clay-V3,597.4284879,12551.97253,
kf-v3-3,rhiz,Clay,V3,Clay-V3,408.0951433,11606.22587,
kf-v3-4,rhiz,Clay,V3,Clay-V3,414.2592483,13811.40334,
kf-v5-2 ,rhiz,Clay,V5,Clay-V5,44.7306858,2765.698303,
kf-v5-3,rhiz,Clay,V5,Clay-V5,190.4069157,8339.822906,
kf-v5-4,rhiz,Clay,V5,Clay-V5,92.48025792,4578.69757,
kf-v5-5,rhiz,Clay,V5,Clay-V5,39.99004423,1429.244181,
kf-v5-ctr1,rhiz,Clay,V5_Ctr,Clay-V5-Ctr,73.19197833,1004.913341,13.72982893
kf-v5-ctr2,rhiz,Clay,V5_Ctr,Clay-V5-Ctr,42.68254107,340.6278927,7.980497041
kf-v5-ctr3,rhiz,Clay,V5_Ctr,Clay-V5-Ctr,89.39697658,1003.614249,11.22648983
kf-v5-ctr4,rhiz,Clay,V5_Ctr,Clay-V5-Ctr,173.6568653,83.93415157,0.483333333
nk-v1-1,root soil,Sand,V1,Sandy-V1,692.4371756,272523.9089,
